fpr,tpr,threshold
0.0,0.0,inf
3.704389701796629e-06,0.2823333333333333,17.811891555786133
7.013644502068284e-06,0.7746666666666666,14.274090766906738
1.2866580230906958e-05,0.9023333333333332,12.679177284240724
2.9882076927826146e-05,0.9573333333333334,11.285338401794434
0.0001271346545656,0.99,9.284123420715332
0.000333493856887,0.9963333333333332,7.887771606445312
0.0005179477681052,0.9983333333333332,7.296531677246094
0.0006615546088781,0.9983333333333332,6.98520565032959
0.0007990862505402,0.999,6.75043535232544
0.0009162437488423,0.9993333333333332,6.584573745727539
0.0010346360437117,0.9993333333333332,6.442877769470215
0.00113685250355,0.9993333333333332,6.331319808959961
0.0012487003766129,0.9993333333333332,6.223306655883789
0.001349904303266,0.9993333333333332,6.137311935424805
0.0014571340371673,0.9993333333333332,6.051486015319824
0.0015549546212261,0.9993333333333332,5.977333068847656
0.0016469469654874,0.9993333333333332,5.912632465362549
0.0017361486695066,0.9993333333333332,5.857571601867676
0.0018120886583935,0.9993333333333332,5.811800479888916
0.0018954374266839,0.9993333333333332,5.762881278991699
0.0019814286596283,0.9993333333333332,5.715529918670654
0.0020598876335123,0.9993333333333332,5.675163745880127
0.0021531641662036,0.9993333333333332,5.628417491912842
0.0022343396925356,0.9993333333333332,5.590280055999756
0.0023070939062789,0.9993333333333332,5.557328701019287
0.0023839970364882,0.9993333333333332,5.5241570472717285
0.0024562573316046,0.9996666666666668,5.49395751953125
0.0025370871148978,0.9996666666666668,5.460737228393555
0.0026097425449157,0.9996666666666668,5.432408332824707
0.0026945977650182,0.9996666666666668,5.401205539703369
0.0027690806939556,0.9996666666666668,5.374856948852539
0.0028453170340186,0.9996666666666668,5.348469257354736
0.0029062665925788,0.9996666666666668,5.328307628631592
0.0029660060505031,0.9996666666666668,5.308413982391357
0.0030278199666604,0.9996666666666668,5.288674354553223
0.0030966722232512,0.9996666666666668,5.266213893890381
0.003168389207878,0.9996666666666668,5.244258880615234
0.0032417608199049,0.9996666666666668,5.222493648529053
0.0033066864234117,0.9996666666666668,5.203266143798828
0.0033739581403963,0.9996666666666668,5.183696746826172
0.0034341174291535,0.9996666666666668,5.16755485534668
0.0034933135765882,0.9996666666666668,5.151665210723877
0.0035493239488794,0.9996666666666668,5.136497020721436
0.0036087917515589,0.9996666666666668,5.121246814727783
0.0036654195221337,0.9996666666666668,5.107030868530273
0.0037241958387355,0.9996666666666668,5.092160224914551
0.0037865283694511,0.9996666666666668,5.07682991027832
0.0038356485768969,0.9996666666666668,5.0649895668029785
0.0038918318207075,0.9996666666666668,5.05162525177002
0.003949867259369,0.9996666666666668,5.037599563598633
0.0040008149657343,0.9996666666666668,5.026305198669434
0.0040485028091621,0.9996666666666668,5.015562534332275
0.0041040686546891,0.9996666666666668,5.002563953399658
0.0041591899734518,0.9996666666666668,4.99048376083374
0.0042115453479039,0.9996666666666668,4.978827953338623
0.0042646416002963,0.9996666666666668,4.967042446136475
0.0043158362659751,0.9996666666666668,4.956621646881104
0.0043640674198925,0.9996666666666668,4.946667671203613
0.0044135580663085,0.9996666666666668,4.936689376831055
0.0044593196270914,0.9996666666666668,4.927263259887695
0.0045178242884484,0.9996666666666668,4.915527820587158
0.0045691918256467,0.9996666666666668,4.905449867248535
0.0046195221337284,0.9996666666666668,4.895360469818115
