precision,recall,threshold
7.408230544134534e-05,1.0,-5.237630844116211
0.01570581952966306,1.0,4.890731334686279
0.01570066645376444,0.9996666666666667,4.890749931335449
0.029452202777286746,0.9996666666666667,5.500426292419434
0.0294426712496931,0.9993333333333333,5.500454425811768
0.08284056369162753,0.9993333333333333,6.717350959777832
0.08281522009450386,0.999,6.7174530029296875
0.08936665076335878,0.999,6.822783946990967
0.08933949604890414,0.9986666666666667,6.8228535652160645
0.0921279212792128,0.9986666666666667,6.862685680389404
0.09210000307512531,0.9983333333333333,6.862699508666992
0.1447489246532309,0.9983333333333333,7.524207592010498
0.14470758820686322,0.998,7.524226665496826
0.15074769649060973,0.998,7.587703227996826
0.15070493454179254,0.9976666666666667,7.587736129760742
0.15195207391988627,0.9976666666666667,7.6011962890625
0.15190901705930138,0.9973333333333333,7.601226329803467
0.15583333333333332,0.9973333333333333,7.639315605163574
0.15578936402937654,0.997,7.639554023742676
0.16913594209454874,0.997,7.769035816192627
0.16908895549397726,0.9966666666666667,7.769221305847168
0.17457815145676417,0.9966666666666667,7.822857856750488
0.1745299544552143,0.9963333333333333,7.822899341583252
0.20081967213114754,0.9963333333333333,8.066959381103516
0.20076597460189477,0.996,8.06717586517334
0.2147631711349098,0.996,8.188545227050781
0.21470672800460033,0.9956666666666667,8.188573837280273
0.23265051795311162,0.9956666666666667,8.341997146606445
0.23259074622215298,0.9953333333333333,8.342193603515625
0.2531366564937267,0.9953333333333333,8.506196022033691
0.2530733361593896,0.995,8.506197929382324
0.26656545811752097,0.995,8.611161231994629
0.2664999553451817,0.9946666666666667,8.61125659942627
0.27555637639671254,0.9946666666666667,8.677783966064453
0.2754894717399335,0.9943333333333333,8.678213119506836
0.2813354710930869,0.9943333333333333,8.719244003295898
0.2812676853423882,0.994,8.719557762145996
0.288953488372093,0.994,8.775696754455566
0.2888845818393255,0.9936666666666667,8.775839805603027
0.30026188557614825,0.9936666666666667,8.854070663452148
0.3001913971995568,0.9933333333333333,8.854113578796387
0.30330788804071246,0.9933333333333333,8.876082420349121
0.3032369706840391,0.993,8.876232147216797
0.3062609232034543,0.993,8.895240783691406
0.3061895949002673,0.9926666666666667,8.895444869995117
0.30704196308897824,0.9926666666666667,8.899297714233398
0.306970509383378,0.9923333333333333,8.899316787719727
0.31741123787184133,0.9923333333333333,8.96940803527832
0.31733845169545744,0.992,8.96944522857666
0.32354859752120024,0.992,9.009973526000977
0.3234750462107209,0.9916666666666667,9.01024055480957
0.3258845437616387,0.9916666666666667,9.025097846984863
0.32581069237510957,0.9913333333333333,9.025415420532227
0.3313279857397504,0.9913333333333333,9.058597564697266
0.33125348189415044,0.991,9.058598518371582
0.33457123565158675,0.991,9.078609466552734
0.3344963421496905,0.9906666666666667,9.078825950622559
0.35229966808914176,0.9906666666666667,9.193683624267578
0.3522228808535863,0.9903333333333333,9.193920135498047
0.35546781526681026,0.9903333333333333,9.217610359191895
0.3553906904391528,0.99,9.218648910522461
0.3754740834386852,0.99,9.334565162658691
0.375395119484132,0.9896666666666667,9.33536434173584
