dataset,data_type,event_name,detector,url,doi_or_source,local_path,download_status,duration_s,gps_start
GWTC-3/O1-O3,strain_hdf5_4khz,GW200219_094415,L1,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200219_094415/v1/L-L1_GWOSC_4KHZ_R1-1266138626-4096.hdf5,GWOSC,data/real_strain/GW200219_094415/L-L1_GWOSC_4KHZ_R1-1266138626-4096.hdf5,already_exists,4096.0,1266138626.0
GWTC-3/O1-O3,strain_hdf5_4khz,GW200224_222234,H1,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200224_222234/v1/H-H1_GWOSC_4KHZ_R1-1266616125-4096.hdf5,GWOSC,data/real_strain/GW200224_222234/H-H1_GWOSC_4KHZ_R1-1266616125-4096.hdf5,already_exists,4096.0,1266616125.0
GWTC-3/O1-O3,strain_hdf5_4khz,GW200224_222234,L1,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200224_222234/v1/L-L1_GWOSC_4KHZ_R1-1266616125-4096.hdf5,GWOSC,data/real_strain/GW200224_222234/L-L1_GWOSC_4KHZ_R1-1266616125-4096.hdf5,already_exists,4096.0,1266616125.0
GWTC-3/O1-O3,strain_hdf5_4khz,GW200225_060421,H1,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200225_060421/v1/H-H1_GWOSC_4KHZ_R1-1266643832-4096.hdf5,GWOSC,data/real_strain/GW200225_060421/H-H1_GWOSC_4KHZ_R1-1266643832-4096.hdf5,already_exists,4096.0,1266643832.0
GWTC-3/O1-O3,strain_hdf5_4khz,GW200225_060421,L1,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200225_060421/v1/L-L1_GWOSC_4KHZ_R1-1266643832-4096.hdf5,GWOSC,data/real_strain/GW200225_060421/L-L1_GWOSC_4KHZ_R1-1266643832-4096.hdf5,already_exists,4096.0,1266643832.0
GWTC-3/O1-O3,strain_hdf5_4khz,GW200302_015811,H1,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200302_015811/v1/H-H1_GWOSC_4KHZ_R1-1267147462-4096.hdf5,GWOSC,data/real_strain/GW200302_015811/H-H1_GWOSC_4KHZ_R1-1267147462-4096.hdf5,already_exists,4096.0,1267147462.0
GWTC-3/O1-O3,strain_hdf5_4khz,GW200302_015811,L1,,GWOSC,,no_gwosc_url,,
GWTC-3/O1-O3,strain_hdf5_4khz,GW200311_115853,H1,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200311_115853/v1/H-H1_GWOSC_4KHZ_R1-1267961104-4096.hdf5,GWOSC,data/real_strain/GW200311_115853/H-H1_GWOSC_4KHZ_R1-1267961104-4096.hdf5,already_exists,4096.0,1267961104.0
GWTC-3/O1-O3,strain_hdf5_4khz,GW200311_115853,L1,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200311_115853/v1/L-L1_GWOSC_4KHZ_R1-1267961104-4096.hdf5,GWOSC,data/real_strain/GW200311_115853/L-L1_GWOSC_4KHZ_R1-1267961104-4096.hdf5,already_exists,4096.0,1267961104.0
GWTC-3/O1-O3,strain_hdf5_4khz,GW200316_215756,H1,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200316_215756/v1/H-H1_GWOSC_4KHZ_R1-1268429047-4096.hdf5,GWOSC,data/real_strain/GW200316_215756/H-H1_GWOSC_4KHZ_R1-1268429047-4096.hdf5,already_exists,4096.0,1268429047.0
GWTC-3/O1-O3,strain_hdf5_4khz,GW200316_215756,L1,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200316_215756/v1/L-L1_GWOSC_4KHZ_R1-1268429047-4096.hdf5,GWOSC,data/real_strain/GW200316_215756/L-L1_GWOSC_4KHZ_R1-1268429047-4096.hdf5,already_exists,4096.0,1268429047.0
