event_i,event_j,delta_t_days,time_score,sky_norm_sep,sky_step_weight,sky_log_overlap,snr_ratio,ang_sep_deg,combined_time_sky_z
GW240406_062847,GW240413_022019,6.827452994745086,0.5732528,3.1960142,-0.5,-3.6641285,-0.42268082,35.503468,1.8577395878989673
GW240406_062847,GW240414_054515,7.969760461430306,0.72702783,6.4503098,-0.5,-19.528292,-0.036814585,77.93989,1.8914122730832061
GW240406_062847,GW240420_175625,14.477518764472117,0.035988156,2.1609457,0.1,-3.5681589,-0.12033243,91.51402,1.1240764431264028
GW240406_062847,GW240426_031451,19.865324878386325,0.09474692,7.125238,-0.5,-25.078638,-0.13192618,139.76985,0.9649481199580172
GW240406_062847,GW240428_225440,22.68463171891592,0.3320092,3.2194667,-0.5,-3.885404,-0.32156354,38.47331,1.5253654559746468
GW240406_062847,GW240501_033534,24.879711077745867,0.3320092,10.66202,-0.5,-55.981457,-0.09104473,158.70393,0.9453626791899183
GW240406_062847,GW240505_133552,29.29658200411057,0.2735977,6.9017854,-0.5,-23.095074,-0.25156555,109.941086,1.2316176270912316
GW240406_062847,GW240507_041632,30.908153487711594,0.2735977,2.4497993,0.1,-2.3624501,-0.17589204,40.696426,1.4624408590609417
GW240406_062847,GW240511_031507,34.86551014309128,0.104784556,5.4512324,-0.5,-13.443058,-0.35124263,61.416313,1.1082178093794917
GW240406_062847,GW240512_024139,35.84225982879599,0.104784556,2.830145,0.1,-2.7228248,-0.03130457,34.076183,1.2275697508231773
GW240406_062847,GW240513_183302,37.50295125214314,0.104784556,7.112834,-0.5,-23.962536,-0.25475734,83.459076,0.9911009444728853
GW240406_062847,GW240514_121713,38.24196566663131,0.104784556,10.926982,-0.5,-58.473457,-0.32906446,135.30318,0.6068793140440523
GW240406_062847,GW240515_005301,38.766819597079795,0.104784556,7.2768493,-0.5,-25.586336,-0.032184064,106.59332,0.97302263292779
GW240406_062847,GW240519_012815,42.791297354921696,0.09330103,4.146006,-0.5,-8.4825535,-0.05818847,89.601234,1.1477405664127076
GW240406_062847,GW240520_213616,44.6301975329855,0.09330103,2.0098157,0.5,-0.8343541,-0.060753893,25.397957,1.2328905279188063
GW240406_062847,GW240525_031210,48.863457665219904,-0.20667636,9.402159,-0.5,-43.498413,-0.20601414,151.30345,0.34766580657242574
GW240406_062847,GW240526_093944,50.13260156504258,-0.20667636,6.6885066,-0.5,-21.437645,-0.14786626,96.01184,0.5932757159970324
GW240406_062847,GW240527_183429,51.50394860342973,-0.20667636,4.6642227,-0.5,-10.467481,-0.12856932,86.85205,0.7154102239293133
GW240406_062847,GW240527_230910,51.694704470399905,-0.20667636,12.912993,-0.5,-81.932365,-0.02000158,143.64624,-0.08023223833915627
GW240406_062847,GW240530_012417,53.788542606052424,-0.20667636,8.377352,-0.5,-34.19629,-0.055184763,122.481346,0.4512294642680528
GW240406_062847,GW240531_040326,54.899058492142295,-0.24045733,0.4343544,1.0,0.74415696,-0.24905609,6.528319,0.794036272725333
GW240406_062847,GW240531_075248,55.058339789048944,-0.24045733,4.8173327,-0.5,-10.982336,-0.19417374,80.72137,0.6634813044122668
GW240406_062847,GW240601_061200,55.988338488241034,-0.24045733,4.4869447,-0.5,-8.934499,-0.118778594,58.23823,0.6862805614642951
GW240406_062847,GW240601_231004,56.69532559964116,-0.24045733,10.042803,-0.5,-49.42608,-0.07726434,139.03294,0.2354742594746541
GW240406_062847,GW240612_081540,67.074221918972,-0.39246207,7.4712253,-0.5,-27.56938,-0.28381467,144.0609,0.2709394214696931
GW240406_062847,GW240615_113620,70.21357428815905,-0.39246207,8.4486685,-0.5,-34.217346,-0.8321314,92.47797,0.19692538840349866
GW240406_062847,GW240615_160735,70.40193812982628,-0.39246207,5.861177,-0.5,-16.20929,-0.06303063,82.593796,0.39741510548254155
GW240406_062847,GW240618_071627,73.03309331101951,-0.39246207,4.08586,-0.5,-8.30999,-0.3407564,91.67532,0.48536064996071604
GW240406_062847,GW240621_195059,76.55707794401933,-0.38587266,7.612157,-0.5,-27.52062,-0.88474226,84.19305,0.28049357110459006
GW240406_062847,GW240621_200935,76.56999576254576,-0.38587266,3.721293,-0.5,-5.794582,-0.04896734,48.35865,0.5223768231517847
GW240406_062847,GW240621_214041,76.63326170078307,-0.38587266,7.2315397,-0.5,-25.883495,-0.3472736,144.84964,0.29872023140905624
GW240406_062847,GW240622_004008,76.75787617685619,-0.38587266,2.443745,0.1,-1.7207731,-0.12711753,29.672905,0.5677318988210243
GW240406_062847,GW240627_131622,82.28303598464915,-0.38587266,6.3498216,-0.5,-19.134905,-0.1320601,86.930534,0.3738545460597582
GW240406_062847,GW240629_145256,84.35010346412659,-0.38587266,9.731464,-0.5,-46.037987,-0.11536826,115.38753,0.07433353804057642
GW240406_062847,GW240630_101703,85.15851246831869,-0.38587266,4.1646557,-0.5,-7.69523,-0.09118482,58.407703,0.5012162720239292
GW240406_062847,GW240703_191355,88.53133549638645,-0.7066782,1.6552631,0.5,-1.9216622,-0.10099707,49.854332,0.12678048214993826
GW240406_062847,GW240705_053215,89.96074112577571,-0.7066782,5.8687544,-0.5,-16.14944,-0.21856952,78.498665,-0.03162213473833553
GW240406_062847,GW240716_034900,100.88903485633709,-0.8908795,4.1248393,-0.5,-8.877552,-0.13737975,113.46752,-0.20256465823095282
GW240406_062847,GW240824_205609,140.6023309674059,-1.0487857,11.767973,-0.5,-68.12308,-0.26555786,153.68607,-1.0781081273535464
GW240406_062847,GW240825_055146,140.97429474172216,-1.0487857,3.4306457,-0.5,-4.7957144,-0.08956051,45.49314,-0.3730634161190977
GW240406_062847,GW240830_211120,146.61287587965253,-1.0487857,5.03042,-0.5,-11.536186,-0.013828745,65.79898,-0.4481073433529285
GW240406_062847,GW240902_143306,149.33632971304158,-1.0487857,5.1535363,-0.5,-12.262579,-0.05394023,70.847305,-0.45619451672396233
GW240406_062847,GW240907_153833,154.38178083813025,-1.0487857,7.6753197,-0.5,-28.950935,-0.14899117,136.33745,-0.6419915696668783
GW240406_062847,GW240908_082628,155.08171884833388,-1.0487857,11.152015,-0.5,-61.053947,-0.0111405,144.89687,-0.9994051395342112
GW240406_062847,GW240908_125134,155.26581465037884,-1.0487857,5.2926884,-0.5,-13.408948,-0.2874568,89.74311,-0.46895742596713075
GW240406_062847,GW240910_103535,157.1713842740241,-1.0487857,6.964502,-0.5,-22.998413,-0.4631403,85.05094,-0.5757201484244014
GW240406_062847,GW240915_001357,161.73969703987515,-1.0688436,8.337061,-0.5,-33.681675,-0.28825518,111.5185,-0.7220905058688812
GW240406_062847,GW240915_105151,162.18267548915412,-1.0688436,4.9755588,-0.5,-12.510853,-0.2054989,121.53551,-0.48638866271071235
GW240406_062847,GW240916_184352,163.51046778623981,-1.0688436,2.4102242,0.1,-1.9363054,-0.13550895,33.94921,-0.3686586899112428
GW240406_062847,GW240919_061559,165.9911029856845,-1.0688436,8.153838,-0.5,-31.779282,-0.38688844,89.67123,-0.700910524578583
GW240406_062847,GW240920_073424,167.0455621802724,-1.0688436,6.241871,-0.5,-18.30572,-0.15783766,79.29623,-0.5509048501422362
GW240406_062847,GW240920_124024,167.2580668946052,-1.0688436,5.585063,-0.5,-14.226925,-1.1825379,64.36791,-0.5054942671175433
GW240406_062847,GW240921_201835,168.5762487302141,-1.0688436,3.5853488,-0.5,-6.066648,-0.011091551,68.42831,-0.4146431754327229
GW240406_062847,GW240922_142106,169.327991822889,-1.0688436,10.749523,-0.5,-56.49028,-0.11114588,129.18272,-0.9760263354583388
GW240406_062847,GW240923_204006,170.59118300710287,-1.0688436,3.8430786,-0.5,-6.369961,-0.029272111,52.89079,-0.418020058033442
GW240406_062847,GW240924_000316,170.73227601863996,-1.0688436,10.544457,-0.5,-54.718754,-0.07981438,155.69038,-0.9563033402942867
GW240406_062847,GW240925_005809,171.7703944762686,-1.0688436,8.727566,-0.5,-36.662716,-1.0054857,97.95732,-0.7552794317765473
GW240406_062847,GW240930_035959,176.89666743639444,-1.0688436,7.399737,-0.5,-26.150621,-0.3083684,91.56209,-0.6382447681364061
GW240406_062847,GW240930_234614,177.72045161323967,-1.0688436,6.857752,-0.5,-22.352127,-0.003982111,87.66664,-0.5959548603163543
GW240406_062847,GW241002_030559,178.8591640292715,-1.0688436,9.497018,-0.5,-44.399265,-0.024911782,153.17194,-0.8414130233575564
GW240406_062847,GW241006_015333,182.8088611687554,-1.0688436,4.947532,-0.5,-10.949169,-0.3840294,59.337585,-0.46900191630252386
GW240406_062847,GW241007_082943,184.08397326833395,-1.0688436,7.5391636,-0.5,-27.280746,-0.16433282,97.516914,-0.6508268282228064
GW240406_062847,GW241009_022835,185.83319193986003,-1.2622733,3.754995,-0.5,-6.698474,-0.28836918,71.99634,-0.6862006273647585
GW240406_062847,GW241009_084816,186.09686229256567,-1.2622733,8.770105,-0.5,-37.292675,-0.07843936,111.97647,-1.0268160998053144
GW240406_062847,GW241009_220455,186.65008818998658,-1.2622733,5.141816,-0.5,-12.2073765,-0.11491652,70.867676,-0.747533081813091
GW240406_062847,GW241011_233834,188.71512799877812,-1.2622733,7.928093,-0.5,-30.01079,-1.1256449,89.249115,-0.945744437155744
GW240406_062847,GW241101_220523,209.65040705416766,-1.2622733,3.4087577,-0.5,-6.245718,-0.054942258,96.89114,-0.6811599442011055
GW240406_062847,GW241102_124058,210.25845938824392,-1.2622733,8.724958,-0.5,-36.62536,-0.62690836,97.21555,-1.0193866427417517
