waveform,time,sky,macro_r_at_1,macro_r_at_5,macro_r_at_10,macro_median_rank,pm_r_at_1,pm_r_at_5,pm_r_at_10,pm_median_rank,sis_r_at_1,sis_r_at_5,sis_r_at_10,sis_median_rank
1.0,0.25,4.0,0.6499999999999999,0.9111111111111111,0.9833333333333334,1.0,0.6944444444444444,0.9333333333333333,0.9777777777777777,1.0,0.6055555555555555,0.8888888888888888,0.9888888888888889,1.0
2.0,0.25,4.0,0.725,0.9333333333333333,0.9638888888888888,1.0,0.7833333333333333,0.9611111111111111,0.9833333333333333,1.0,0.6666666666666666,0.9055555555555556,0.9444444444444444,1.0
4.0,0.25,4.0,0.7777777777777778,0.9388888888888889,0.961111111111111,1.0,0.8388888888888889,0.9611111111111111,0.9833333333333333,1.0,0.7166666666666667,0.9166666666666666,0.9388888888888889,1.0
2.0,0.5,4.0,0.6027777777777777,0.8666666666666667,0.961111111111111,1.0,0.6611111111111111,0.9055555555555556,0.9777777777777777,1.0,0.5444444444444444,0.8277777777777777,0.9444444444444444,1.0
1.0,0.25,2.0,0.6027777777777777,0.8666666666666667,0.961111111111111,1.0,0.6611111111111111,0.9055555555555556,0.9777777777777777,1.0,0.5444444444444444,0.8277777777777777,0.9444444444444444,1.0
4.0,0.5,4.0,0.6916666666666667,0.9027777777777777,0.9583333333333333,1.0,0.7611111111111111,0.95,0.9833333333333333,1.0,0.6222222222222222,0.8555555555555555,0.9333333333333333,1.0
2.0,0.25,2.0,0.6916666666666667,0.9027777777777777,0.9583333333333333,1.0,0.7611111111111111,0.95,0.9833333333333333,1.0,0.6222222222222222,0.8555555555555555,0.9333333333333333,1.0
4.0,0.25,2.0,0.75,0.9111111111111111,0.9555555555555555,1.0,0.8222222222222222,0.95,0.9777777777777777,1.0,0.6777777777777778,0.8722222222222222,0.9333333333333333,1.0
0.5,0.25,4.0,0.5472222222222223,0.8611111111111112,0.9555555555555555,1.0,0.5388888888888889,0.8444444444444444,0.9611111111111111,1.0,0.5555555555555556,0.8777777777777778,0.95,1.0
4.0,0.5,2.0,0.6444444444444444,0.8555555555555556,0.9416666666666667,1.0,0.7111111111111111,0.9055555555555556,0.9722222222222222,1.0,0.5777777777777777,0.8055555555555556,0.9111111111111111,1.0
2.0,0.25,1.0,0.6444444444444444,0.8555555555555556,0.9416666666666667,1.0,0.7111111111111111,0.9055555555555556,0.9722222222222222,1.0,0.5777777777777777,0.8055555555555556,0.9111111111111111,1.0
4.0,0.25,1.0,0.6805555555555556,0.8944444444444445,0.9361111111111111,1.0,0.7722222222222223,0.9277777777777778,0.9666666666666667,1.0,0.5888888888888889,0.8611111111111112,0.9055555555555556,1.0
4.0,0.25,0.5,0.625,0.8694444444444445,0.9222222222222223,1.0,0.7277777777777777,0.9166666666666666,0.9611111111111111,1.0,0.5222222222222223,0.8222222222222222,0.8833333333333333,1.0
1.0,0.5,4.0,0.5138888888888888,0.7944444444444445,0.9222222222222223,1.0,0.5055555555555555,0.8055555555555556,0.9111111111111111,1.0,0.5222222222222223,0.7833333333333333,0.9333333333333333,1.0
0.5,0.25,2.0,0.5138888888888888,0.7944444444444445,0.9222222222222223,1.0,0.5055555555555555,0.8055555555555556,0.9111111111111111,1.0,0.5222222222222223,0.7833333333333333,0.9333333333333333,1.0
4.0,0.5,1.0,0.5833333333333334,0.8,0.9166666666666666,1.0,0.6444444444444445,0.85,0.95,1.0,0.5222222222222223,0.75,0.8833333333333333,1.0
2.0,0.25,0.5,0.5833333333333334,0.8,0.9166666666666666,1.0,0.6444444444444445,0.85,0.95,1.0,0.5222222222222223,0.75,0.8833333333333333,1.0
4.0,0.25,0.25,0.5833333333333334,0.8166666666666667,0.9111111111111112,1.5,0.6777777777777778,0.8722222222222222,0.9555555555555556,1.0,0.4888888888888889,0.7611111111111111,0.8666666666666667,2.0
4.0,1.0,4.0,0.5666666666666667,0.7944444444444445,0.9027777777777778,1.0,0.6111111111111112,0.8388888888888889,0.9277777777777778,1.0,0.5222222222222223,0.75,0.8777777777777778,1.0
2.0,0.5,2.0,0.5666666666666667,0.7944444444444445,0.9027777777777778,1.0,0.6111111111111112,0.8388888888888889,0.9277777777777778,1.0,0.5222222222222223,0.75,0.8777777777777778,1.0
1.0,0.25,1.0,0.5666666666666667,0.7944444444444445,0.9027777777777778,1.0,0.6111111111111112,0.8388888888888889,0.9277777777777778,1.0,0.5222222222222223,0.75,0.8777777777777778,1.0
0.25,0.25,4.0,0.43333333333333335,0.8,0.8972222222222221,2.0,0.4111111111111111,0.7722222222222223,0.8888888888888888,2.0,0.45555555555555555,0.8277777777777777,0.9055555555555556,2.0
4.0,1.0,2.0,0.5277777777777778,0.7416666666666667,0.8638888888888889,1.5,0.5777777777777777,0.7833333333333333,0.9,1.0,0.4777777777777778,0.7,0.8277777777777777,2.0
2.0,0.5,1.0,0.5277777777777778,0.7416666666666667,0.8638888888888889,1.5,0.5777777777777777,0.7833333333333333,0.9,1.0,0.4777777777777778,0.7,0.8277777777777777,2.0
1.0,0.25,0.5,0.5277777777777778,0.7416666666666667,0.8638888888888889,1.5,0.5777777777777777,0.7833333333333333,0.9,1.0,0.4777777777777778,0.7,0.8277777777777777,2.0
4.0,0.5,0.5,0.55,0.7666666666666666,0.8611111111111112,1.5,0.6055555555555555,0.8166666666666667,0.9111111111111111,1.0,0.49444444444444446,0.7166666666666667,0.8111111111111111,2.0
2.0,0.25,0.25,0.55,0.7666666666666666,0.8611111111111112,1.5,0.6055555555555555,0.8166666666666667,0.9111111111111111,1.0,0.49444444444444446,0.7166666666666667,0.8111111111111111,2.0
2.0,1.0,4.0,0.46111111111111114,0.7361111111111112,0.8611111111111112,2.0,0.45555555555555555,0.7388888888888889,0.8611111111111112,2.0,0.4666666666666667,0.7333333333333333,0.8611111111111112,2.0
1.0,0.5,2.0,0.46111111111111114,0.7361111111111112,0.8611111111111112,2.0,0.45555555555555555,0.7388888888888889,0.8611111111111112,2.0,0.4666666666666667,0.7333333333333333,0.8611111111111112,2.0
0.5,0.25,1.0,0.46111111111111114,0.7361111111111112,0.8611111111111112,2.0,0.45555555555555555,0.7388888888888889,0.8611111111111112,2.0,0.4666666666666667,0.7333333333333333,0.8611111111111112,2.0
0.5,0.5,4.0,0.4083333333333333,0.7111111111111111,0.8527777777777779,2.0,0.4111111111111111,0.7055555555555556,0.8388888888888889,2.0,0.40555555555555556,0.7166666666666667,0.8666666666666667,2.0
0.25,0.25,2.0,0.4083333333333333,0.7111111111111111,0.8527777777777779,2.0,0.4111111111111111,0.7055555555555556,0.8388888888888889,2.0,0.40555555555555556,0.7166666666666667,0.8666666666666667,2.0
4.0,0.5,0.25,0.5083333333333333,0.7416666666666667,0.8333333333333334,1.5,0.5777777777777777,0.7888888888888889,0.8944444444444445,1.0,0.4388888888888889,0.6944444444444444,0.7722222222222223,2.0
4.0,1.0,1.0,0.475,0.6916666666666667,0.8111111111111111,1.75,0.5,0.7277777777777777,0.85,1.5,0.45,0.6555555555555556,0.7722222222222223,2.0
2.0,0.5,0.5,0.475,0.6916666666666667,0.8111111111111111,1.75,0.5,0.7277777777777777,0.85,1.5,0.45,0.6555555555555556,0.7722222222222223,2.0
1.0,0.25,0.25,0.475,0.6916666666666667,0.8111111111111111,1.75,0.5,0.7277777777777777,0.85,1.5,0.45,0.6555555555555556,0.7722222222222223,2.0
4.0,2.0,4.0,0.41388888888888886,0.6944444444444444,0.7888888888888889,2.5,0.39444444444444443,0.7,0.7944444444444444,2.0,0.43333333333333335,0.6888888888888889,0.7833333333333333,3.0
2.0,1.0,2.0,0.41388888888888886,0.6944444444444444,0.7888888888888889,2.5,0.39444444444444443,0.7,0.7944444444444444,2.0,0.43333333333333335,0.6888888888888889,0.7833333333333333,3.0
1.0,0.5,1.0,0.41388888888888886,0.6944444444444444,0.7888888888888889,2.5,0.39444444444444443,0.7,0.7944444444444444,2.0,0.43333333333333335,0.6888888888888889,0.7833333333333333,3.0
0.5,0.25,0.5,0.41388888888888886,0.6944444444444444,0.7888888888888889,2.5,0.39444444444444443,0.7,0.7944444444444444,2.0,0.43333333333333335,0.6888888888888889,0.7833333333333333,3.0
