rank,event_i,event_j,final_score,waveform_score,time_score,healpix_sky_score,delta_t_days,healpix_overlap,waveform_available,full_waveform_scored,pair_has_ood,object_class_i,object_class_j,detector_coverage,snr_ratio,snr_score,empirical_catalog_tail_rank_fraction
56,GW240107_013215,GW240109_050431,3.550498,,1.1394975,-1.4320623,2.147408564813711,0.23881591856479645,False,False,False,BBH,BBH,"H1,L1 | H1",1.0833333333333335,-0.9062731,0.01606425702811245
57,GW230708_053705,GW230708_230935,3.5288863,0.9950481355190277,1.6017894,-6.622224,0.7309074074085112,0.001330469036474824,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.1235955056179774,-0.7520128,0.016351118760757316
58,GW230702_185453,GW230704_212616,3.491336,0.9909393191337585,1.1394975,-2.2813623,2.1051273148148146,0.10214495658874512,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.160919540229885,-0.65255636,0.01663798049340218
59,GW230814_230901,GW230928_215827,3.463757,0.7483177185058594,-0.46470466,-0.95888674,44.95098726851797,0.3833193778991699,True,True,False,BBH,BBH,"H1,L1 | H1,L1",4.095238095238095,0.49845973,0.016924842226047045
60,GW231113_200417,GW231114_043211,3.4615135,0.9329619109630585,1.4008211,-3.1716309,0.3527002314809296,0.04193515330553055,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.05,-0.7915436,0.01721170395869191
61,GW230731_215307,GW230803_033412,3.4571486,0.9360764920711517,1.1394975,-4.149684,2.236857638888889,0.01576939970254898,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.297872340425532,-0.3299174,0.017498565691336777
62,GW230630_234532,GW230702_185453,3.4547772,0.968917965888977,1.3272586,-3.105542,1.7981631944438925,0.04480023682117462,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.02020202020202,-0.7915436,0.01778542742398164
63,GW231029_111508,GW231102_071736,3.4464617,,0.72371477,-1.6799138,3.8350416666683222,0.18639005720615387,False,False,False,BBH,BBH,"L1 | H1,L1",1.4444444444444444,0.33563223,0.018072289156626505
64,GW230704_212616,GW230706_104333,3.4434643,0.9783408939838409,1.6632715,-3.366798,1.5536631944444443,0.03449993208050728,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.0574712643678161,-0.9062731,0.01835915088927137
65,GW230723_101834,GW230729_082317,3.4429026,0.991597980260849,0.60855174,-1.4217384,5.919939814814263,0.24129417538642883,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.063157894736842,-0.9062731,0.018646012621916237
66,GW231119_075248,GW231129_081745,3.4314883,0.9870770871639252,0.5091429,-1.7741017,10.017332175925926,0.16963575780391693,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.1325301204819276,-0.7520128,0.0189328743545611
67,GW231230_170116,GW240104_164932,3.4082203,0.7849443256855011,0.6520675,-0.7301661,4.991847222221119,0.4818289577960968,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.804878048780488,0.9463326,0.019219736087205966
68,GW230707_124047,GW230708_053705,3.4060256,0.9818397462368011,1.6017894,-4.3037667,0.7057615740735221,0.013517545536160469,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.3370786516853932,-0.3299174,0.019506597819850834
69,GW231102_071736,GW231104_133418,3.4015527,0.9735740721225739,1.1394975,-4.47362,2.261603009259259,0.011405951343476772,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.3220338983050846,-0.3299174,0.019793459552495698
70,GW230924_124453,GW230927_153832,3.395721,0.9981016516685486,1.3175298,-4.9513063,3.120591435186841,0.0070741623640060425,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.5037037037037038,0.21949525,0.020080321285140562
