family,split,r_at_1,r_at_5,r_at_10,mrr,median_true_rank,pair_precision_at_tuned,pair_recall_at_tuned,candidate_pair_recall_top10,candidate_edges_top10,first_loss,last_loss
SIS,val,0.5722222222222222,0.8,0.8444444444444444,0.668598723601595,1.0,0.36585365853658536,0.5,0.8777777777777778,1812,3.6146337802593527,0.7049299982877878
SIS,test,0.5777777777777777,0.8,0.8444444444444444,0.6742214759156323,1.0,0.32,0.4444444444444444,0.8666666666666667,1789,3.6146337802593527,0.7049299982877878
PM,val,0.6222222222222222,0.8555555555555555,0.9222222222222223,0.7227727065705754,1.0,0.3533834586466165,0.5222222222222223,0.9444444444444444,1787,3.570064581357516,0.7412956998898432
PM,test,0.6388888888888888,0.8,0.8722222222222222,0.7213671550163004,1.0,0.3333333333333333,0.4888888888888889,0.9222222222222223,1805,3.570064581357516,0.7412956998898432
