rank,event_i,event_j,final_score,waveform_score,time_score,healpix_sky_score,delta_t_days,healpix_overlap,waveform_available,full_waveform_scored,pair_has_ood,object_class_i,object_class_j,detector_coverage,snr_ratio,snr_score,empirical_catalog_tail_rank_fraction
1,GW230726_002940,GW230814_230901,16.652653,0.9999896585941315,0.14496483,-0.029082399,19.94400115740796,0.9713364243507385,True,True,False,BBH,BBH,"H1,L1 | H1,L1",4.095238095238095,0.49845973,0.00028686173264486515
2,GW231231_154016,GW240104_164932,13.027955,0.9483487904071808,0.72371477,-0.06220284,4.048100694442788,0.9396922588348389,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.1044776119402986,-0.7520128,0.0005737234652897303
3,GW231223_202619,GW240104_164932,11.721565,0.9984946846961975,0.5091429,-0.16190614,11.849462962961859,0.8505210280418396,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.4653465346534655,0.33563223,0.0008605851979345956
4,GW230911_195324,GW231231_154016,11.71765,0.9609679579734802,-0.98785776,-0.19035526,110.82421875,0.8266654014587402,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.2072072072072073,-0.65255636,0.0011474469305794606
5,GW231223_202619,GW231231_154016,11.442522,0.96054807305336,0.3064856,-0.3404764,7.80136226851907,0.7114313244819641,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.3267326732673268,-0.3299174,0.001434308663224326
6,GW230911_195324,GW240104_164932,10.834069,0.9985122084617615,-1.0540919,-0.30852944,114.8723194444428,0.7345263361930847,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.3333333333333335,-0.3299174,0.0017211703958691911
7,GW230630_125806,GW230707_124047,10.596809,0.9589120149612427,0.60855174,-0.15947676,6.987967592590937,0.8525897860527039,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.3222222222222222,-0.3299174,0.002008032128514056
8,GW230911_195324,GW231029_111508,10.17763,,-0.46470466,-0.2177281,47.64009953703593,0.804344117641449,False,False,False,BBH,BBH,"H1,L1 | L1",1.0277777777777777,-0.7915436,0.002294893861158921
9,GW231029_111508,GW240109_050431,9.651241,,-0.76458937,-0.2767786,71.74262731481481,0.7582223415374756,False,False,False,BBH,BBH,L1 | H1,1.0384615384615385,-0.7915436,0.0025817555938037868
10,GW230726_002940,GW240104_164932,9.254493,0.5463590621948242,-0.91269135,-0.06847553,162.68046875,0.9338163137435913,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.4095238095238096,0.049324512,0.002868617326448652
11,GW230911_195324,GW231223_202619,8.994756,0.9999849498271942,-0.98785776,-0.62385553,103.02285648148093,0.5358743667602539,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.099009900990099,-0.9062731,0.003155479059093517
12,GW230814_230901,GW240104_164932,8.96265,0.546023890376091,-1.0540919,-0.09001506,142.73646759259205,0.9139174222946167,True,True,False,BBH,BBH,"H1,L1 | H1,L1",2.9054054054054053,1.3819606,0.0034423407917383822
13,GW231029_111508,GW231231_154016,8.533848,,-0.48126355,-0.46041647,63.18411921296407,0.6310207843780518,False,False,False,BBH,BBH,"L1 | H1,L1",1.2407407407407407,-0.50567925,0.0037292025243832474
14,GW230930_110730,GW231129_081745,8.519522,0.9485567510128021,-0.48126355,-0.71305865,59.88212037036816,0.49014273285865784,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.0444444444444445,-0.7915436,0.004016064257028112
15,GW230707_124047,GW230708_230935,8.244013,0.9856936633586884,1.6632715,-1.1792246,1.4366689814820335,0.30751708149909973,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.19,-0.65255636,0.004302925989672977
16,GW230726_002940,GW231029_111508,8.1916275,,-0.98785776,-0.47906095,95.44824884259315,0.6193647384643555,False,False,False,BBH,BBH,"H1,L1 | L1",1.0285714285714287,-0.7915436,0.004589787722317842
17,GW231029_111508,GW240104_164932,8.172437,,-0.48126355,-0.51400596,67.23221990740686,0.5980948209762573,False,False,False,BBH,BBH,"L1 | H1,L1",1.3703703703703702,0.049324512,0.004876649454962708
18,GW230814_230901,GW230911_195324,8.129906,0.5360786318778992,0.09791964,-0.3210216,27.86414814814925,0.725407600402832,True,True,False,BBH,BBH,"H1,L1 | H1,L1",3.873873873873874,0.32038963,0.0051635111876075735
19,GW230726_002940,GW230911_195324,8.094135,0.5364619493484497,-0.46470466,-0.27668035,47.80814930555721,0.7582968473434448,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.0571428571428572,-0.9062731,0.005450372920252439
20,GW230707_124047,GW230709_122727,8.0398445,0.9759780168533325,1.3272586,-1.1756347,1.990739583334437,0.3086230158805847,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.1666666666666667,-0.65255636,0.005737234652897304
21,GW230911_195324,GW240109_050431,7.97745,,-1.0540919,-0.4300652,119.38272685185075,0.6504666805267334,False,False,False,BBH,BBH,"H1,L1 | H1",1.0673076923076923,-0.9062731,0.006024096385542169
22,GW231029_111508,GW231223_202619,7.90639,,-0.48126355,-0.553455,55.382756944445,0.5749598741531372,False,False,False,BBH,BBH,"L1 | H1,L1",1.0693069306930694,-0.9062731,0.006310958118187034
23,GW230726_002940,GW231223_202619,7.7600913,0.5361335426568985,-0.91269135,-0.3001421,150.83100578703815,0.7407129406929016,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.0396039603960396,-0.7915436,0.006597819850831899
24,GW231102_071736,GW240109_050431,7.715114,,-0.48126355,-1.0156606,67.9075856481465,0.36216309666633606,False,False,False,BBH,BBH,"H1,L1 | H1",1.5,0.21949525,0.0068846815834767644
25,GW230628_231200,GW230630_234532,7.7102423,0.9429226219654083,1.3272586,-0.8017991,2.023287037037037,0.44852128624916077,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.6565656565656564,0.75670844,0.00717154331612163
26,GW230814_230901,GW230928_215827,7.6677284,0.7483177185058594,-0.46470466,-0.95888674,44.95098726851797,0.3833193778991699,True,True,False,BBH,BBH,"H1,L1 | H1,L1",4.095238095238095,0.49845973,0.007458405048766495
27,GW230814_230901,GW231029_111508,7.5458336,,-0.76458937,-0.58896536,75.50424768518519,0.554901123046875,False,False,False,BBH,BBH,"H1,L1 | L1",3.9814814814814814,0.32038963,0.00774526678141136
28,GW230630_125806,GW230709_122727,7.5074873,0.9740989208221436,0.3064856,-1.0315541,8.978707175925374,0.3564525544643402,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.1333333333333333,-0.7520128,0.008032128514056224
29,GW231231_154016,GW240109_050431,7.4988403,,0.3064856,-0.58596116,8.558508101850748,0.5565706491470337,False,False,False,BBH,BBH,"H1,L1 | H1",1.2884615384615385,-0.3299174,0.00831899024670109
30,GW230630_125806,GW230708_230935,7.487189,0.9863011240959167,0.3064856,-1.0825307,8.42463657407297,0.3387371897697449,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.1111111111111112,-0.7520128,0.008605851979345954
31,GW230726_002940,GW231231_154016,7.4868917,0.4245058745145798,-0.91269135,-0.06229571,158.6323680555572,0.9396049976348877,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.2761904761904763,-0.50567925,0.00889271371199082
32,GW231119_075248,GW240109_050431,7.474305,,-0.46470466,-0.7805799,50.88314467592648,0.4581402540206909,False,False,False,BBH,BBH,"H1,L1 | H1",1.2530120481927711,-0.50567925,0.009179575444635685
33,GW231102_071736,GW231224_024321,7.464789,0.9929559826850891,-0.46470466,-1.4244996,51.809555555554454,0.24062883853912354,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.1142857142857143,-0.7520128,0.00946643717728055
34,GW230919_215712,GW231028_153006,7.4476314,0.999735951423645,-0.21233524,-0.893856,38.731184027777225,0.4090753197669983,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.3333333333333333,-0.3299174,0.009753298909925417
35,GW240104_164932,GW240109_050431,7.3761845,,0.6520675,-0.61209536,4.51040740740796,0.5422135591506958,False,False,False,BBH,BBH,"H1,L1 | H1",1.4230769230769231,0.33563223,0.010040160642570281
36,GW231129_081745,GW240109_050431,7.3735123,,-0.21233524,-1.0961573,40.86581250000055,0.3341526687145233,False,False,False,BBH,BBH,"H1,L1 | H1",1.1063829787234043,-0.7520128,0.010327022375215147
37,GW231114_043211,GW231224_024321,7.289184,0.9871151745319366,-0.21233524,-1.5334983,39.924430555555006,0.21577949821949005,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.4,0.049324512,0.010613884107860011
38,GW230814_230901,GW231231_154016,7.2796507,0.42417633533477783,-1.0540919,-0.06721181,138.68836689814924,0.9349971413612366,True,True,False,BBH,BBH,"H1,L1 | H1,L1",3.2089552238805967,1.2351207,0.010900745840504877
39,GW231223_202619,GW240109_050431,7.2494564,,0.36398852,-0.61118686,16.35987037036982,0.5427063703536987,False,False,False,BBH,BBH,"H1,L1 | H1",1.0297029702970297,-0.7915436,0.011187607573149742
40,GW230814_230901,GW231223_202619,7.2193193,0.5357343256473541,-1.0540919,-0.39341104,130.88700462963018,0.674751341342926,True,True,False,BBH,BBH,"H1,L1 | H1,L1",4.257425742574258,0.114768416,0.011474469305794608
41,GW230726_002940,GW240109_050431,7.174465,,-0.91269135,-0.5722224,167.19087615740796,0.56427001953125,False,False,False,BBH,BBH,"H1,L1 | H1",1.0096153846153846,-0.7915436,0.011761331038439472
42,GW230820_212515,GW231102_071736,7.123445,0.9974163174629211,-0.76458937,-1.3365961,73.41134722222333,0.2627384662628174,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.6774193548387095,0.75670844,0.012048192771084338
43,GW231029_111508,GW231119_075248,7.0007896,,0.14496483,-0.98836994,20.859482638888338,0.3721828758716583,False,False,False,BBH,BBH,"L1 | H1,L1",1.3012048192771084,-0.3299174,0.012335054503729202
44,GW230726_002940,GW230928_215827,6.927019,0.7472386658191681,-0.48126355,-1.0148516,64.89498842592593,0.36245623230934143,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.0,-0.7915436,0.012621916236374068
45,GW231118_090602,GW231119_075248,6.8657193,0.9901091754436493,1.9103365,-1.3953378,0.9491446759248221,0.24774932861328125,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.325301204819277,-0.3299174,0.012908777969018933
46,GW230630_125806,GW240109_050431,6.7343388,,0.062050734,-1.1465507,192.6711215277761,0.3177308440208435,False,False,False,BBH,BBH,"H1,L1 | H1",1.1555555555555557,-0.7520128,0.013195639701663799
47,GW230630_125806,GW231113_122623,6.722515,0.9968642592430115,-1.0540919,-1.2030532,135.97797453703703,0.3002760112285614,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.0465116279069768,-0.7915436,0.013482501434308663
48,GW230930_110730,GW231119_075248,6.629428,0.9821977615356445,-0.46470466,-1.2037084,49.864788194442234,0.300079345703125,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.0843373493975903,-0.9062731,0.013769363166953529
49,GW231029_111508,GW231129_081745,6.6110606,,0.09791964,-1.3760675,30.876814814814264,0.2525698244571686,False,False,False,BBH,BBH,"L1 | H1,L1",1.148936170212766,-0.7520128,0.014056224899598393
