rank,event_i,event_j,final_score,waveform_score,time_score,healpix_sky_score,delta_t_days,healpix_overlap,waveform_available,full_waveform_scored,pair_has_ood,object_class_i,object_class_j,detector_coverage,snr_ratio,snr_score,empirical_catalog_tail_rank_fraction
40,GW231029_111508,GW231119_075248,7.0007896,,0.14496483,-0.98836994,20.859482638888338,0.3721828758716583,False,False,False,BBH,BBH,"L1 | H1,L1",1.3012048192771084,-0.3299174,0.011474469305794608
41,GW231102_071736,GW231224_024321,6.9574013,0.9929559826850891,-0.46470466,-1.4244996,51.809555555554454,0.24062883853912354,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.1142857142857143,-0.7520128,0.011761331038439472
42,GW230911_195324,GW231223_202619,6.850635,0.9999849498271942,-0.98785776,-0.62385553,103.02285648148093,0.5358743667602539,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.099009900990099,-0.9062731,0.012048192771084338
43,GW231114_043211,GW231224_024321,6.846569,0.9871151745319366,-0.21233524,-1.5334983,39.924430555555006,0.21577949821949005,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.4,0.049324512,0.012335054503729202
44,GW230630_125806,GW240109_050431,6.7343388,,0.062050734,-1.1465507,192.6711215277761,0.3177308440208435,False,False,False,BBH,BBH,"H1,L1 | H1",1.1555555555555557,-0.7520128,0.012621916236374068
45,GW230704_212616,GW230911_195324,6.6652308,0.782751202583313,-0.76458937,-0.74634635,68.93550347222222,0.47409558296203613,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.2758620689655173,-0.50567925,0.012908777969018933
46,GW231029_111508,GW231129_081745,6.6110606,,0.09791964,-1.3760675,30.876814814814264,0.2525698244571686,False,False,False,BBH,BBH,"L1 | H1,L1",1.148936170212766,-0.7520128,0.013195639701663799
47,GW230820_212515,GW231102_071736,6.603358,0.9974163174629211,-0.76458937,-1.3365961,73.41134722222333,0.2627384662628174,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.6774193548387095,0.75670844,0.013482501434308663
48,GW230704_212616,GW231029_111508,6.5356903,,-1.0540919,-0.75517637,116.57560300925816,0.46992772817611694,False,False,False,BBH,BBH,"H1,L1 | L1",1.2413793103448278,-0.50567925,0.013769363166953529
49,GW231127_165300,GW240104_164932,6.4932947,0.7884477376937866,-0.21233524,-0.89847803,37.99758912036816,0.40718892216682434,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.494949494949495,0.21949525,0.014056224899598393
50,GW230831_015414,GW231230_170116,6.4632063,0.9565872848033905,-1.0540919,-0.7896914,121.62989467592703,0.4539848864078522,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.048780487804878,-0.7915436,0.01434308663224326
51,GW230707_124047,GW240109_050431,6.454832,,0.062050734,-1.3875532,185.68315393518517,0.24968549609184265,False,False,False,BBH,BBH,"H1,L1 | H1",1.1442307692307692,-0.7520128,0.014629948364888123
52,GW230814_230901,GW240109_050431,6.440244,,-0.91269135,-0.74772096,147.246875,0.4734443128108978,False,False,False,BBH,BBH,"H1,L1 | H1",4.134615384615384,0.49845973,0.01491681009753299
53,GW230919_215712,GW231028_153006,6.4296746,0.999735951423645,-0.21233524,-0.893856,38.731184027777225,0.4090753197669983,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.3333333333333333,-0.3299174,0.015203671830177854
54,GW231224_024321,GW240109_050431,6.411328,,0.36398852,-1.8833594,16.09803009259204,0.15207834541797638,False,False,False,BBH,BBH,"H1,L1 | H1",1.346153846153846,-0.3299174,0.01549053356282272
55,GW230726_002940,GW231230_170116,6.400988,0.6149729192256927,-0.91269135,-0.8333303,157.68862152777888,0.43459954857826233,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.2804878048780488,-0.50567925,0.015777395295467584
56,GW230911_195324,GW231102_071736,6.3516464,0.8039098381996155,-0.46470466,-1.4619389,51.475141203704254,0.23178642988204956,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.4054054054054055,0.049324512,0.01606425702811245
57,GW231127_165300,GW231231_154016,6.346132,0.685953676700592,-0.21233524,-0.9632806,33.949488425925374,0.3816388249397278,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.3535353535353536,0.049324512,0.016351118760757316
58,GW230814_230901,GW231230_170116,6.3038673,0.6165618002414703,-1.0540919,-0.8465999,137.7446203703709,0.42887067794799805,True,True,False,BBH,BBH,"H1,L1 | H1,L1",5.2439024390243905,1.0820447,0.01663798049340218
59,GW231118_090602,GW231119_075248,6.2872763,0.9901091754436493,1.9103365,-1.3953378,0.9491446759248221,0.24774932861328125,True,True,False,BBH,BBH,"H1,L1 | H1,L1",1.325301204819277,-0.3299174,0.016924842226047045
