event_name,detector,local_path,source_local_path,download_status,sampling_rate,duration,gps_start
GW231129_081745,L1,data/real_strain/GW231129_081745/L-L1_GWOSC_O4a_4KHZ_R1-1385279488-4096.hdf5,data/gwtc4p1/strain_4khz_hdf5/GW231129_081745/L-L1_GWOSC_O4a_4KHZ_R1-1385279488-4096.hdf5,available_symlink,4096,4096.0,1385279488.0
GW231204_090648,H1,data/real_strain/GW231204_090648/H-H1_GWOSC_O4a_4KHZ_R1-1385713664-4096.hdf5,data/gwtc4p1/strain_4khz_hdf5/GW231204_090648/H-H1_GWOSC_O4a_4KHZ_R1-1385713664-4096.hdf5,available_symlink,4096,4096.0,1385713664.0
GW231204_090648,L1,data/real_strain/GW231204_090648/L-L1_GWOSC_O4a_4KHZ_R1-1385713664-4096.hdf5,data/gwtc4p1/strain_4khz_hdf5/GW231204_090648/L-L1_GWOSC_O4a_4KHZ_R1-1385713664-4096.hdf5,available_symlink,4096,4096.0,1385713664.0
GW231206_010629,H1,data/real_strain/GW231206_010629/H-H1_GWOSC_O4a_4KHZ_R1-1385857024-4096.hdf5,data/gwtc4p1/strain_4khz_hdf5/GW231206_010629/H-H1_GWOSC_O4a_4KHZ_R1-1385857024-4096.hdf5,available_symlink,4096,4096.0,1385857024.0
GW231206_010629,L1,data/real_strain/GW231206_010629/L-L1_GWOSC_O4a_4KHZ_R1-1385857024-4096.hdf5,data/gwtc4p1/strain_4khz_hdf5/GW231206_010629/L-L1_GWOSC_O4a_4KHZ_R1-1385857024-4096.hdf5,available_symlink,4096,4096.0,1385857024.0
GW231206_233134,H1,data/real_strain/GW231206_233134/H-H1_GWOSC_O4a_4KHZ_R1-1385938944-4096.hdf5,data/gwtc4p1/strain_4khz_hdf5/GW231206_233134/H-H1_GWOSC_O4a_4KHZ_R1-1385938944-4096.hdf5,available_symlink,4096,4096.0,1385938944.0
GW231206_233134,L1,data/real_strain/GW231206_233134/L-L1_GWOSC_O4a_4KHZ_R1-1385938944-4096.hdf5,data/gwtc4p1/strain_4khz_hdf5/GW231206_233134/L-L1_GWOSC_O4a_4KHZ_R1-1385938944-4096.hdf5,available_symlink,4096,4096.0,1385938944.0
GW231206_233901,H1,data/real_strain/GW231206_233901/H-H1_GWOSC_O4a_4KHZ_R1-1385938944-4096.hdf5,data/gwtc4p1/strain_4khz_hdf5/GW231206_233901/H-H1_GWOSC_O4a_4KHZ_R1-1385938944-4096.hdf5,available_symlink,4096,4096.0,1385938944.0
GW231206_233901,L1,data/real_strain/GW231206_233901/L-L1_GWOSC_O4a_4KHZ_R1-1385938944-4096.hdf5,data/gwtc4p1/strain_4khz_hdf5/GW231206_233901/L-L1_GWOSC_O4a_4KHZ_R1-1385938944-4096.hdf5,available_symlink,4096,4096.0,1385938944.0
GW231213_111417,H1,data/real_strain/GW231213_111417/H-H1_GWOSC_O4a_4KHZ_R1-1386500096-4096.hdf5,data/gwtc4p1/strain_4khz_hdf5/GW231213_111417/H-H1_GWOSC_O4a_4KHZ_R1-1386500096-4096.hdf5,available_symlink,4096,4096.0,1386500096.0
GW231213_111417,L1,data/real_strain/GW231213_111417/L-L1_GWOSC_O4a_4KHZ_R1-1386500096-4096.hdf5,data/gwtc4p1/strain_4khz_hdf5/GW231213_111417/L-L1_GWOSC_O4a_4KHZ_R1-1386500096-4096.hdf5,available_symlink,4096,4096.0,1386500096.0
GW231220_173406,H1,data/real_strain/GW231220_173406/H-H1_GWOSC_O4a_4KHZ_R1-1387126784-4096.hdf5,data/gwtc4p1/strain_4khz_hdf5/GW231220_173406/H-H1_GWOSC_O4a_4KHZ_R1-1387126784-4096.hdf5,available_symlink,4096,4096.0,1387126784.0
GW231220_173406,L1,data/real_strain/GW231220_173406/L-L1_GWOSC_O4a_4KHZ_R1-1387126784-4096.hdf5,data/gwtc4p1/strain_4khz_hdf5/GW231220_173406/L-L1_GWOSC_O4a_4KHZ_R1-1387126784-4096.hdf5,available_symlink,4096,4096.0,1387126784.0
GW231221_135041,H1,data/real_strain/GW231221_135041/H-H1_GWOSC_O4a_4KHZ_R1-1387200512-4096.hdf5,data/gwtc4p1/strain_4khz_hdf5/GW231221_135041/H-H1_GWOSC_O4a_4KHZ_R1-1387200512-4096.hdf5,available_symlink,4096,4096.0,1387200512.0
GW231221_135041,L1,data/real_strain/GW231221_135041/L-L1_GWOSC_O4a_4KHZ_R1-1387200512-4096.hdf5,data/gwtc4p1/strain_4khz_hdf5/GW231221_135041/L-L1_GWOSC_O4a_4KHZ_R1-1387200512-4096.hdf5,available_symlink,4096,4096.0,1387200512.0
GW231223_032836,H1,data/real_strain/GW231223_032836/H-H1_GWOSC_O4a_4KHZ_R1-1387335680-4096.hdf5,data/gwtc4p1/strain_4khz_hdf5/GW231223_032836/H-H1_GWOSC_O4a_4KHZ_R1-1387335680-4096.hdf5,available_symlink,4096,4096.0,1387335680.0
GW231223_032836,L1,data/real_strain/GW231223_032836/L-L1_GWOSC_O4a_4KHZ_R1-1387335680-4096.hdf5,data/gwtc4p1/strain_4khz_hdf5/GW231223_032836/L-L1_GWOSC_O4a_4KHZ_R1-1387335680-4096.hdf5,available_symlink,4096,4096.0,1387335680.0
GW231223_075055,H1,data/real_strain/GW231223_075055/H-H1_GWOSC_O4a_4KHZ_R1-1387352064-4096.hdf5,data/gwtc4p1/strain_4khz_hdf5/GW231223_075055/H-H1_GWOSC_O4a_4KHZ_R1-1387352064-4096.hdf5,available_symlink,4096,4096.0,1387352064.0
GW231223_075055,L1,data/real_strain/GW231223_075055/L-L1_GWOSC_O4a_4KHZ_R1-1387352064-4096.hdf5,data/gwtc4p1/strain_4khz_hdf5/GW231223_075055/L-L1_GWOSC_O4a_4KHZ_R1-1387352064-4096.hdf5,available_symlink,4096,4096.0,1387352064.0
GW231223_202619,H1,data/real_strain/GW231223_202619/H-H1_GWOSC_O4a_4KHZ_R1-1387397120-4096.hdf5,data/gwtc4p1/strain_4khz_hdf5/GW231223_202619/H-H1_GWOSC_O4a_4KHZ_R1-1387397120-4096.hdf5,available_symlink,4096,4096.0,1387397120.0
GW231223_202619,L1,data/real_strain/GW231223_202619/L-L1_GWOSC_O4a_4KHZ_R1-1387397120-4096.hdf5,data/gwtc4p1/strain_4khz_hdf5/GW231223_202619/L-L1_GWOSC_O4a_4KHZ_R1-1387397120-4096.hdf5,available_symlink,4096,4096.0,1387397120.0
GW231224_024321,H1,data/real_strain/GW231224_024321/H-H1_GWOSC_O4a_4KHZ_R1-1387417600-4096.hdf5,data/gwtc4p1/strain_4khz_hdf5/GW231224_024321/H-H1_GWOSC_O4a_4KHZ_R1-1387417600-4096.hdf5,available_symlink,4096,4096.0,1387417600.0
GW231224_024321,L1,data/real_strain/GW231224_024321/L-L1_GWOSC_O4a_4KHZ_R1-1387417600-4096.hdf5,data/gwtc4p1/strain_4khz_hdf5/GW231224_024321/L-L1_GWOSC_O4a_4KHZ_R1-1387417600-4096.hdf5,available_symlink,4096,4096.0,1387417600.0
GW231226_101520,H1,data/real_strain/GW231226_101520/H-H1_GWOSC_O4a_4KHZ_R1-1387618304-4096.hdf5,data/gwtc4p1/strain_4khz_hdf5/GW231226_101520/H-H1_GWOSC_O4a_4KHZ_R1-1387618304-4096.hdf5,available_symlink,4096,4096.0,1387618304.0
GW231226_101520,L1,data/real_strain/GW231226_101520/L-L1_GWOSC_O4a_4KHZ_R1-1387618304-4096.hdf5,data/gwtc4p1/strain_4khz_hdf5/GW231226_101520/L-L1_GWOSC_O4a_4KHZ_R1-1387618304-4096.hdf5,available_symlink,4096,4096.0,1387618304.0
GW231230_170116,H1,data/real_strain/GW231230_170116/H-H1_GWOSC_O4a_4KHZ_R1-1387986944-4096.hdf5,data/gwtc4p1/strain_4khz_hdf5/GW231230_170116/H-H1_GWOSC_O4a_4KHZ_R1-1387986944-4096.hdf5,available_symlink,4096,4096.0,1387986944.0
GW231230_170116,L1,data/real_strain/GW231230_170116/L-L1_GWOSC_O4a_4KHZ_R1-1387986944-4096.hdf5,data/gwtc4p1/strain_4khz_hdf5/GW231230_170116/L-L1_GWOSC_O4a_4KHZ_R1-1387986944-4096.hdf5,available_symlink,4096,4096.0,1387986944.0
GW231231_120147,H1,data/real_strain/GW231231_120147/H-H1_GWOSC_O4a_4KHZ_R1-1388056576-4096.hdf5,data/gwtc4p1/strain_4khz_hdf5/GW231231_120147/H-H1_GWOSC_O4a_4KHZ_R1-1388056576-4096.hdf5,available_symlink,4096,4096.0,1388056576.0
GW231231_120147,L1,data/real_strain/GW231231_120147/L-L1_GWOSC_O4a_4KHZ_R1-1388056576-4096.hdf5,data/gwtc4p1/strain_4khz_hdf5/GW231231_120147/L-L1_GWOSC_O4a_4KHZ_R1-1388056576-4096.hdf5,available_symlink,4096,4096.0,1388056576.0
GW231231_154016,H1,data/real_strain/GW231231_154016/H-H1_GWOSC_O4a_4KHZ_R1-1388068864-4096.hdf5,data/gwtc4p1/strain_4khz_hdf5/GW231231_154016/H-H1_GWOSC_O4a_4KHZ_R1-1388068864-4096.hdf5,available_symlink,4096,4096.0,1388068864.0
GW231231_154016,L1,data/real_strain/GW231231_154016/L-L1_GWOSC_O4a_4KHZ_R1-1388068864-4096.hdf5,data/gwtc4p1/strain_4khz_hdf5/GW231231_154016/L-L1_GWOSC_O4a_4KHZ_R1-1388068864-4096.hdf5,available_symlink,4096,4096.0,1388068864.0
GW240104_164932,H1,data/real_strain/GW240104_164932/H-H1_GWOSC_O4a_4KHZ_R1-1388421120-4096.hdf5,data/gwtc4p1/strain_4khz_hdf5/GW240104_164932/H-H1_GWOSC_O4a_4KHZ_R1-1388421120-4096.hdf5,available_symlink,4096,4096.0,1388421120.0
GW240104_164932,L1,data/real_strain/GW240104_164932/L-L1_GWOSC_O4a_4KHZ_R1-1388421120-4096.hdf5,data/gwtc4p1/strain_4khz_hdf5/GW240104_164932/L-L1_GWOSC_O4a_4KHZ_R1-1388421120-4096.hdf5,available_symlink,4096,4096.0,1388421120.0
GW240105_151143,H1,data/real_strain/GW240105_151143/H-H1_GWOSC_O4a_4KHZ_R1-1388498944-4096.hdf5,data/gwtc4p1/strain_4khz_hdf5/GW240105_151143/H-H1_GWOSC_O4a_4KHZ_R1-1388498944-4096.hdf5,available_symlink,4096,4096.0,1388498944.0
GW240107_013215,H1,data/real_strain/GW240107_013215/H-H1_GWOSC_O4a_4KHZ_R1-1388625920-4096.hdf5,data/gwtc4p1/strain_4khz_hdf5/GW240107_013215/H-H1_GWOSC_O4a_4KHZ_R1-1388625920-4096.hdf5,available_symlink,4096,4096.0,1388625920.0
GW240107_013215,L1,data/real_strain/GW240107_013215/L-L1_GWOSC_O4a_4KHZ_R1-1388625920-4096.hdf5,data/gwtc4p1/strain_4khz_hdf5/GW240107_013215/L-L1_GWOSC_O4a_4KHZ_R1-1388625920-4096.hdf5,available_symlink,4096,4096.0,1388625920.0
GW240109_050431,H1,data/real_strain/GW240109_050431/H-H1_GWOSC_O4a_4KHZ_R1-1388810240-4096.hdf5,data/gwtc4p1/strain_4khz_hdf5/GW240109_050431/H-H1_GWOSC_O4a_4KHZ_R1-1388810240-4096.hdf5,available_symlink,4096,4096.0,1388810240.0
