source_index,event_name,run,catalog,gps_time,detectors_available,network_snr,far_per_year,p_astro,mass_1_source,mass_2_source,chirp_mass_source,luminosity_distance,redshift,pe_release_url,pe_waveform_family,pe_doi,sky_map_path,sky_map_format,sky_map_group,sky_map_available,h1_l1_strain_available,embedding_available,object_class,is_ood_for_bbh_encoder,include_in_primary_search,dq_status
17,GW230624_113103,O4a_or_gap,GWTC-4.1,1371641481.7,"H1,L1",11.4,0.00017,0.99,27.1,16.1,18.0,1930.0,0.35,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230624_113103-combined_PEDataRelease.hdf5/content,C00:Mixed,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230624_113103/IGWN-GWTC4p1-18965dda8_5-GW230624_113103-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,True,True,True,BBH,False,True,strain_hdf5_open_ok
18,GW230624_214944,O4a_or_gap,GWTC-4.1,1371678602.5,"H1,L1",10.6,2.2,0.74,,,,,,,,,,,,False,True,False,unknown_OOD,True,False,strain_hdf5_open_ok
19,GW230625_211655,O4a_or_gap,GWTC-4.1,1371763033.0,"H1,L1",8.1,9.8,0.61,,,,,,,,,,,,False,True,False,unknown_OOD,True,False,strain_hdf5_open_ok
20,GW230627_015337,O4a_or_gap,GWTC-4.1,1371866035.8,"H1,L1",28.7,1e-05,0.99,8.4,5.74,6.02,305.0,0.07,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230627_015337-combined_PEDataRelease.hdf5/content,C00:Mixed,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230627_015337/IGWN-GWTC4p1-18965dda8_5-GW230627_015337-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,True,True,True,BBH,False,True,strain_hdf5_open_ok
21,GW230628_231200,O4a_or_gap,GWTC-4.1,1372029138.4,"H1,L1",16.4,1e-05,0.99,32.5,27.0,25.5,2260.0,0.4,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230628_231200-combined_PEDataRelease.hdf5/content,C00:Mixed,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230628_231200/IGWN-GWTC4p1-18965dda8_5-GW230628_231200-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,True,True,True,BBH,False,True,strain_hdf5_open_ok
22,GW230630_070659,O4a_or_gap,GWTC-4.1,1372144037.0,"H1,L1",9.8,0.47,0.96,,,,,,,,,,,,False,True,False,unknown_OOD,True,False,strain_hdf5_open_ok
23,GW230630_125806,O4a_or_gap,GWTC-4.1,1372165104.9,"H1,L1",9.0,0.048,0.99,51.0,33.0,35.0,5400.0,0.83,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230630_125806-combined_PEDataRelease.hdf5/content,C00:Mixed,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230630_125806/IGWN-GWTC4p1-18965dda8_5-GW230630_125806-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,True,True,True,BBH,False,True,strain_hdf5_open_ok
24,GW230630_234532,O4a_or_gap,GWTC-4.1,1372203950.4,"H1,L1",9.9,0.00042,0.99,10.0,6.6,7.06,1090.0,0.21,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230630_234532-combined_PEDataRelease.hdf5/content,C00:Mixed,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230630_234532/IGWN-GWTC4p1-18965dda8_5-GW230630_234532-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,True,True,True,BBH,False,True,strain_hdf5_open_ok
25,GW230702_162025,O4a_or_gap,GWTC-4.1,1372350043.9,"H1,L1",9.2,6.5,0.6,,,,,,,,,,,,False,True,False,unknown_OOD,True,False,strain_hdf5_open_ok
26,GW230702_185453,O4a_or_gap,GWTC-4.1,1372359311.7,"H1,L1",10.1,1e-05,0.99,40.0,18.0,22.9,2500.0,0.44,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230702_185453-combined_PEDataRelease.hdf5/content,C00:Mixed,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230702_185453/IGWN-GWTC4p1-18965dda8_5-GW230702_185453-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,True,True,True,BBH,False,True,strain_hdf5_open_ok
