source_index,event_name,run,catalog,gps_time,detectors_available,network_snr,far_per_year,p_astro,mass_1_source,mass_2_source,chirp_mass_source,luminosity_distance,redshift,pe_release_url,pe_waveform_family,pe_doi,sky_map_path,sky_map_format,sky_map_group,sky_map_available,h1_l1_strain_available,embedding_available,object_class,is_ood_for_bbh_encoder,include_in_primary_search,dq_status
61,GW230831_015414,O4a_or_gap,GWTC-4.1,1377482072.1,"H1,L1",8.6,0.036,0.99,42.0,30.0,30.7,4900.0,0.77,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230831_015414-combined_PEDataRelease.hdf5/content,C00:Mixed,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230831_015414/IGWN-GWTC4p1-18965dda8_5-GW230831_015414-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,True,True,True,BBH,False,True,strain_hdf5_open_ok
62,GW230831_134621,O4a_or_gap,GWTC-4.1,1377524799.7,"H1,L1",8.8,2.8,0.8,,,,,,,,,,,,False,True,False,unknown_OOD,True,False,strain_hdf5_open_ok
63,GW230902_122814,O4a_or_gap,GWTC-4.1,1377692912.9,"H1,L1",8.1,2.0,0.84,,,,,,,,,,,,False,True,False,unknown_OOD,True,False,strain_hdf5_open_ok
64,GW230902_150325,O4a_or_gap,GWTC-4.1,1377702223.2,"H1,L1",7.8,7.400000000000001,0.65,,,,,,,,,,,,False,True,False,unknown_OOD,True,False,strain_hdf5_open_ok
65,GW230902_172430,O4a_or_gap,GWTC-4.1,1377710688.8,"H1,L1",8.5,10.0,0.6,,,,,,,,,,,,False,True,False,unknown_OOD,True,False,strain_hdf5_open_ok
66,GW230902_224555,O4a_or_gap,GWTC-4.1,1377729973.7,"H1,L1",7.5,14.0,0.51,,,,,,,,,,,,False,True,False,unknown_OOD,True,False,strain_hdf5_open_ok
67,GW230904_051013,O4a_or_gap,GWTC-4.1,1377839431.1,"H1,L1",10.5,3.7e-05,0.99,10.6,7.1,7.53,1030.0,0.2,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230904_051013-combined_PEDataRelease.hdf5/content,C00:Mixed,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230904_051013/IGWN-GWTC4p1-18965dda8_5-GW230904_051013-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,True,True,True,BBH,False,True,strain_hdf5_open_ok
68,GW230904_152545,O4a_or_gap,GWTC-4.1,1377876363.2,"H1,L1",9.2,4.4,0.75,,,,,,,,,,,,False,True,False,unknown_OOD,True,False,strain_hdf5_open_ok
69,GW230911_195324,O4a_or_gap,GWTC-4.1,1378497222.2,"H1,L1",11.1,0.001,0.99,33.9,21.6,23.2,1350.0,0.26,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230911_195324-combined_PEDataRelease.hdf5/content,C00:Mixed+XO4a,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230911_195324/IGWN-GWTC4p1-18965dda8_5-GW230911_195324-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXO4a,True,True,True,BBH,False,True,strain_hdf5_open_ok
70,GW230914_111401,O4a_or_gap,GWTC-4.1,1378725259.7,"H1,L1",17.2,1e-05,0.99,60.0,37.0,39.8,2700.0,0.47,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230914_111401-combined_PEDataRelease.hdf5/content,C00:Mixed+XO4a,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230914_111401/IGWN-GWTC4p1-18965dda8_5-GW230914_111401-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXO4a,True,True,True,BBH,False,True,strain_hdf5_open_ok
71,GW230919_215712,O4a_or_gap,GWTC-4.1,1379195850.0,"H1,L1",16.8,1e-05,0.99,27.3,21.4,21.0,1330.0,0.25,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230919_215712-combined_PEDataRelease.hdf5/content,C00:Mixed,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230919_215712/IGWN-GWTC4p1-18965dda8_5-GW230919_215712-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,True,True,True,BBH,False,True,strain_hdf5_open_ok
72,GW230920_064709,O4a_or_gap,GWTC-4.1,1379227647.3,"H1,L1",9.5,3.2,0.79,,,,,,,,,,,,False,True,False,unknown_OOD,True,False,strain_hdf5_open_ok
73,GW230920_071124,O4a_or_gap,GWTC-4.1,1379229102.7,"H1,L1",11.1,1e-05,0.99,32.4,23.8,23.9,2900.0,0.49,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230920_071124-combined_PEDataRelease.hdf5/content,C00:Mixed,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230920_071124/IGWN-GWTC4p1-18965dda8_5-GW230920_071124-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,True,True,True,BBH,False,True,strain_hdf5_open_ok
74,GW230922_020344,O4a_or_gap,GWTC-4.1,1379383442.9,"H1,L1",13.4,1e-05,0.99,39.3,29.2,29.2,1640.0,0.31,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230922_020344-combined_PEDataRelease.hdf5/content,C00:Mixed,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230922_020344/IGWN-GWTC4p1-18965dda8_5-GW230922_020344-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,True,True,True,BBH,False,True,strain_hdf5_open_ok
75,GW230922_040658,O4a_or_gap,GWTC-4.1,1379390836.1,"H1,L1",12.5,1e-05,0.99,76.0,51.0,52.0,6500.0,0.96,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230922_040658-combined_PEDataRelease.hdf5/content,C00:Mixed,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230922_040658/IGWN-GWTC4p1-18965dda8_5-GW230922_040658-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,True,True,True,BBH,False,True,strain_hdf5_open_ok
76,GW230924_124453,O4a_or_gap,GWTC-4.1,1379594711.8,"H1,L1",13.5,1e-05,0.99,28.8,23.2,22.3,2400.0,0.42,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230924_124453-combined_PEDataRelease.hdf5/content,C00:Mixed,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230924_124453/IGWN-GWTC4p1-18965dda8_5-GW230924_124453-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,True,True,True,BBH,False,True,strain_hdf5_open_ok
77,GW230925_143957,O4a_or_gap,GWTC-4.1,1379688015.5,"H1,L1",8.0,8.2,0.55,,,,,,,,,,,,False,True,False,unknown_OOD,True,False,strain_hdf5_open_ok
78,GW230927_043729,O4a_or_gap,GWTC-4.1,1379824667.1,"H1,L1",12.1,1e-05,0.99,35.0,27.1,26.5,3200.0,0.55,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230927_043729-combined_PEDataRelease.hdf5/content,C00:Mixed,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230927_043729/IGWN-GWTC4p1-18965dda8_5-GW230927_043729-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,True,True,True,BBH,False,True,strain_hdf5_open_ok
79,GW230927_153832,O4a_or_gap,GWTC-4.1,1379864330.9,"H1,L1",20.3,1e-05,0.99,21.7,16.6,16.37,1190.0,0.23,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230927_153832-combined_PEDataRelease.hdf5/content,C00:Mixed+XO4a,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230927_153832/IGWN-GWTC4p1-18965dda8_5-GW230927_153832-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXO4a,True,True,True,BBH,False,True,strain_hdf5_open_ok
80,GW230928_215827,O4a_or_gap,GWTC-4.1,1379973525.1,"H1,L1",10.5,1.3999999999999998e-05,0.99,54.0,29.0,33.6,4900.0,0.77,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230928_215827-combined_PEDataRelease.hdf5/content,C00:Mixed,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230928_215827/IGWN-GWTC4p1-18965dda8_5-GW230928_215827-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,True,True,True,BBH,False,True,strain_hdf5_open_ok
81,GW230930_110730,O4a_or_gap,GWTC-4.1,1380107268.4,"H1,L1",9.0,0.0949999999999999,0.99,34.5,24.4,24.8,4900.0,0.76,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW230930_110730-combined_PEDataRelease.hdf5/content,C00:Mixed,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW230930_110730/IGWN-GWTC4p1-18965dda8_5-GW230930_110730-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,True,True,True,BBH,False,True,strain_hdf5_open_ok
82,GW231001_140220,O4a_or_gap,GWTC-4.1,1380204158.7,"H1,L1",11.5,1.5e-05,0.99,76.0,41.0,46.6,4400.0,0.7,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW231001_140220-combined_PEDataRelease.hdf5/content,C00:Mixed+XO4a,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW231001_140220/IGWN-GWTC4p1-18965dda8_5-GW231001_140220-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXO4a,True,True,True,BBH,False,True,strain_hdf5_open_ok
83,GW231002_143916,O4a_or_gap,GWTC-4.1,1380292774.7,"H1,L1",9.4,1.0,0.9,,,,,,,,,,,,False,True,False,unknown_OOD,True,False,strain_hdf5_open_ok
84,GW231004_232346,O4a_or_gap,GWTC-4.1,1380497044.3,"H1,L1",8.9,0.16,0.97,64.0,35.0,40.0,4400.0,0.7,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW231004_232346-combined_PEDataRelease.hdf5/content,C00:Mixed+XO4a,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW231004_232346/IGWN-GWTC4p1-18965dda8_5-GW231004_232346-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXO4a,True,True,True,BBH,False,True,strain_hdf5_open_ok
85,GW231005_021030,O4a_or_gap,GWTC-4.1,1380507049.0,"H1,L1",10.4,0.01,0.99,84.0,50.0,54.0,6300.0,0.93,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW231005_021030-combined_PEDataRelease.hdf5/content,C00:Mixed+XO4a,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW231005_021030/IGWN-GWTC4p1-18965dda8_5-GW231005_021030-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXO4a,True,True,True,BBH,False,True,strain_hdf5_open_ok
86,GW231005_091549,O4a_or_gap,GWTC-4.1,1380532567.5,"H1,L1",11.0,0.04,0.99,28.8,21.2,21.3,3800.0,0.62,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW231005_091549-combined_PEDataRelease.hdf5/content,C00:Mixed,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW231005_091549/IGWN-GWTC4p1-18965dda8_5-GW231005_091549-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,True,True,True,BBH,False,True,strain_hdf5_open_ok
87,GW231005_144455,O4a_or_gap,GWTC-4.1,1380552313.4,"H1,L1",7.3,14.0,0.52,,,,,,,,,,,,False,True,False,unknown_OOD,True,False,strain_hdf5_open_ok
88,GW231007_134720,O4a_or_gap,GWTC-4.1,1380721658.8,"H1,L1",8.1,8.3,0.63,,,,,,,,,,,,False,True,False,unknown_OOD,True,False,strain_hdf5_open_ok
89,GW231008_142521,O4a_or_gap,GWTC-4.1,1380810339.8,"H1,L1",9.3,0.0015,0.99,45.0,25.6,29.0,3000.0,0.51,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW231008_142521-combined_PEDataRelease.hdf5/content,C00:Mixed,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW231008_142521/IGWN-GWTC4p1-18965dda8_5-GW231008_142521-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,True,True,True,BBH,False,True,strain_hdf5_open_ok
90,GW231013_135504,O4a_or_gap,GWTC-4.1,1381240522.4,"H1,L1",8.4,15.0,0.53,,,,,,,,,,,,False,True,False,unknown_OOD,True,False,strain_hdf5_open_ok
91,GW231014_040532,O4a_or_gap,GWTC-4.1,1381291551.0,"H1,L1",9.0,0.21,0.98,20.6,14.7,15.0,2300.0,0.42,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW231014_040532-combined_PEDataRelease.hdf5/content,C00:Mixed,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW231014_040532/IGWN-GWTC4p1-18965dda8_5-GW231014_040532-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,True,True,True,BBH,False,True,strain_hdf5_open_ok
92,GW231018_233037,O4a_or_gap,GWTC-4.1,1381707055.0,"H1,L1",9.1,0.68,0.93,11.6,7.3,7.9,1540.0,0.29,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW231018_233037-combined_PEDataRelease.hdf5/content,C00:Mixed,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW231018_233037/IGWN-GWTC4p1-18965dda8_5-GW231018_233037-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,True,True,True,BBH,False,True,strain_hdf5_open_ok
93,GW231020_142947,O4a_or_gap,GWTC-4.1,1381847405.6,"H1,L1",12.0,1e-05,0.99,12.0,7.4,8.07,1230.0,0.24,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW231020_142947-combined_PEDataRelease.hdf5/content,C00:Mixed,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW231020_142947/IGWN-GWTC4p1-18965dda8_5-GW231020_142947-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,True,True,True,BBH,False,True,strain_hdf5_open_ok
94,GW231024_023603,O4a_or_gap,GWTC-4.1,1382150181.2,"H1,L1",8.3,14.0,0.51,,,,,,,,,,,,False,True,False,unknown_OOD,True,False,strain_hdf5_open_ok
95,GW231025_142306,O4a_or_gap,GWTC-4.1,1382279004.1,"H1,L1",8.3,5.3,0.71,,,,,,,,,,,,False,True,False,unknown_OOD,True,False,strain_hdf5_open_ok
96,GW231026_130704,O4a_or_gap,GWTC-4.1,1382360842.2,"H1,L1",8.3,0.7599999999999999,0.95,34.0,20.8,22.8,4400.0,0.71,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW231026_130704-combined_PEDataRelease.hdf5/content,C00:IMRPhenomXPHM-SpinTaylor,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW231026_130704/IGWN-GWTC4p1-18965dda8_5-GW231026_130704-combined_PEDataRelease.hdf5,,,False,True,False,BBH,False,False,strain_hdf5_open_ok
97,GW231028_153006,O4a_or_gap,GWTC-4.1,1382542224.3,"H1,L1",22.4,1e-05,0.99,94.0,59.0,63.0,4200.0,0.68,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW231028_153006-combined_PEDataRelease.hdf5/content,C00:Mixed+XO4a,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW231028_153006/IGWN-GWTC4p1-18965dda8_5-GW231028_153006-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXO4a,True,True,True,BBH,False,True,strain_hdf5_open_ok
98,GW231029_111508,O4a_or_gap,GWTC-4.1,1382613326.8,L1,10.8,5.1e-05,0.99,65.0,42.0,44.4,3100.0,0.53,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW231029_111508-combined_PEDataRelease.hdf5/content,C00:Mixed+XO4a,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW231029_111508/IGWN-GWTC4p1-18965dda8_5-GW231029_111508-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXO4a,True,False,False,BBH,False,True,missing_or_invalid_H1L1
99,GW231102_052214,O4a_or_gap,GWTC-4.1,1382937752.4,"H1,L1",7.9,4.0,0.72,,,,,,,,,,,,False,True,False,unknown_OOD,True,False,strain_hdf5_open_ok
100,GW231102_071736,O4a_or_gap,GWTC-4.1,1382944674.4,"H1,L1",15.6,1e-05,0.99,61.0,42.0,43.3,3800.0,0.63,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW231102_071736-combined_PEDataRelease.hdf5/content,C00:Mixed+XO4a,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW231102_071736/IGWN-GWTC4p1-18965dda8_5-GW231102_071736-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXO4a,True,True,True,BBH,False,True,strain_hdf5_open_ok
101,GW231102_232433,O4a_or_gap,GWTC-4.1,1383002691.5,"H1,L1",7.6,2.5,0.8,,,,,,,,,,,,False,True,False,unknown_OOD,True,False,strain_hdf5_open_ok
102,GW231104_133418,O4a_or_gap,GWTC-4.1,1383140076.9,"H1,L1",11.8,1e-05,0.99,12.2,8.6,8.84,1470.0,0.28,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW231104_133418-combined_PEDataRelease.hdf5/content,C00:Mixed,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW231104_133418/IGWN-GWTC4p1-18965dda8_5-GW231104_133418-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,True,True,True,BBH,False,True,strain_hdf5_open_ok
103,GW231108_125142,O4a_or_gap,GWTC-4.1,1383483120.5,"H1,L1",12.6,1e-05,0.99,23.2,17.4,17.3,2050.0,0.37,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW231108_125142-combined_PEDataRelease.hdf5/content,C00:Mixed,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW231108_125142/IGWN-GWTC4p1-18965dda8_5-GW231108_125142-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,True,True,True,BBH,False,True,strain_hdf5_open_ok
104,GW231110_040320,O4a_or_gap,GWTC-4.1,1383624218.2,"H1,L1",11.5,1e-05,0.99,19.4,12.6,13.4,1890.0,0.35,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW231110_040320-combined_PEDataRelease.hdf5/content,C00:Mixed,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW231110_040320/IGWN-GWTC4p1-18965dda8_5-GW231110_040320-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,True,True,True,BBH,False,True,strain_hdf5_open_ok
105,GW231113_062050,O4a_or_gap,GWTC-4.1,1383891668.9,"H1,L1",8.5,5.4,0.71,,,,,,,,,,,,False,True,False,unknown_OOD,True,False,strain_hdf5_open_ok
106,GW231113_112825,O4a_or_gap,GWTC-4.1,1383910123.5,"H1,L1",7.8,14.0,0.51,,,,,,,,,,,,False,True,False,unknown_OOD,True,False,strain_hdf5_open_ok
107,GW231113_122623,O4a_or_gap,GWTC-4.1,1383913601.9,"H1,L1",8.6,0.063,0.99,39.8,26.4,27.9,3400.0,0.56,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW231113_122623-combined_PEDataRelease.hdf5/content,C00:Mixed,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW231113_122623/IGWN-GWTC4p1-18965dda8_5-GW231113_122623-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,True,True,True,BBH,False,True,strain_hdf5_open_ok
108,GW231113_150041,O4a_or_gap,GWTC-4.1,1383922859.4,"H1,L1",8.7,0.5,0.97,56.0,29.0,34.0,5200.0,0.8,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW231113_150041-combined_PEDataRelease.hdf5/content,C00:IMRPhenomXPHM-SpinTaylor,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW231113_150041/IGWN-GWTC4p1-18965dda8_5-GW231113_150041-combined_PEDataRelease.hdf5,,,False,True,False,BBH,False,False,strain_hdf5_open_ok
109,GW231113_200417,O4a_or_gap,GWTC-4.1,1383941075.9,"H1,L1",10.5,2.7e-05,0.99,11.6,7.4,8.0,1160.0,0.23,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW231113_200417-combined_PEDataRelease.hdf5/content,C00:Mixed,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW231113_200417/IGWN-GWTC4p1-18965dda8_5-GW231113_200417-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,True,True,True,BBH,False,True,strain_hdf5_open_ok
110,GW231114_043211,O4a_or_gap,GWTC-4.1,1383971549.2,"H1,L1",10.0,0.0001199999999999,0.99,22.8,8.2,11.6,1390.0,0.26,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW231114_043211-combined_PEDataRelease.hdf5/content,C00:Mixed+XO4a,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW231114_043211/IGWN-GWTC4p1-18965dda8_5-GW231114_043211-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXO4a,True,True,True,BBH,False,True,strain_hdf5_open_ok
111,GW231118_005626,O4a_or_gap,GWTC-4.1,1384304204.8,"H1,L1",10.7,1e-05,0.99,20.0,10.8,12.6,2190.0,0.39,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW231118_005626-combined_PEDataRelease.hdf5/content,C00:Mixed+XO4a,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW231118_005626/IGWN-GWTC4p1-18965dda8_5-GW231118_005626-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXO4a,True,True,True,BBH,False,True,strain_hdf5_open_ok
112,GW231118_071402,O4a_or_gap,GWTC-4.1,1384326860.2,"H1,L1",9.2,0.00022,0.99,43.0,29.0,30.3,4300.0,0.69,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW231118_071402-combined_PEDataRelease.hdf5/content,C00:Mixed+XO4a,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW231118_071402/IGWN-GWTC4p1-18965dda8_5-GW231118_071402-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXO4a,True,True,True,BBH,False,True,strain_hdf5_open_ok
113,GW231118_090602,O4a_or_gap,GWTC-4.1,1384333580.0,"H1,L1",11.0,1e-05,0.99,12.9,7.4,8.36,1360.0,0.26,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW231118_090602-combined_PEDataRelease.hdf5/content,C00:Mixed,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW231118_090602/IGWN-GWTC4p1-18965dda8_5-GW231118_090602-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,True,True,True,BBH,False,True,strain_hdf5_open_ok
114,GW231119_075248,O4a_or_gap,GWTC-4.1,1384415586.1,"H1,L1",8.3,0.0029,0.99,49.0,33.0,34.5,6700.0,0.99,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW231119_075248-combined_PEDataRelease.hdf5/content,C00:Mixed,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW231119_075248/IGWN-GWTC4p1-18965dda8_5-GW231119_075248-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,True,True,True,BBH,False,True,strain_hdf5_open_ok
115,GW231120_022103,O4a_or_gap,GWTC-4.1,1384482081.0,"H1,L1",10.0,1.6,0.9,,,,,,,,,,,,False,True,False,unknown_OOD,True,False,strain_hdf5_open_ok
116,GW231123_135430,O4a_or_gap,GWTC-4.1,1384782888.7,"H1,L1",21.8,1e-05,0.99,137.0,101.0,101.0,2200.0,0.4,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW231123_135430-combined_PEDataRelease.hdf5/content,C00:Mixed+XO4a,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW231123_135430/IGWN-GWTC4p1-18965dda8_5-GW231123_135430-combined_PEDataRelease.hdf5,,,False,True,False,BBH,False,False,strain_hdf5_open_ok
117,GW231126_010928,O4a_or_gap,GWTC-4.1,1384996186.3,"H1,L1",9.1,2.1,0.86,,,,,,,,,,,,False,True,False,unknown_OOD,True,False,strain_hdf5_open_ok
118,GW231127_061546,O4a_or_gap,GWTC-4.1,1385100964.5,"H1,L1",8.0,11.0,0.55,,,,,,,,,,,,False,True,False,unknown_OOD,True,False,strain_hdf5_open_ok
119,GW231127_165300,O4a_or_gap,GWTC-4.1,1385139198.9,"H1,L1",9.9,0.01,0.99,45.0,28.0,30.4,4500.0,0.71,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW231127_165300-combined_PEDataRelease.hdf5/content,C00:Mixed,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW231127_165300/IGWN-GWTC4p1-18965dda8_5-GW231127_165300-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,True,True,True,BBH,False,True,strain_hdf5_open_ok
120,GW231129_081745,O4a_or_gap,GWTC-4.1,1385281083.6,"H1,L1",9.4,0.056,0.99,45.0,23.8,27.8,3800.0,0.62,https://zenodo.org/api/records/20275769/files/IGWN-GWTC4p1-18965dda8_5-GW231129_081745-combined_PEDataRelease.hdf5/content,C00:Mixed+XO4a,https://doi.org/10.5281/zenodo.20275769,data/gwtc4p1/pe_hdf5/GW231129_081745/IGWN-GWTC4p1-18965dda8_5-GW231129_081745-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXO4a,True,True,True,BBH,False,True,strain_hdf5_open_ok
