experiment,lens_fraction,seed,method,budget,n_events,n_true_pairs,n_false_pairs_estimated,base_positive_rate,true_recovered,false_candidates,recall,precision,enrichment_over_base_rate,false_pair_tail_samples,false_tail_model,false_tail_threshold,false_tail_fraction
rarity_fixed_budget_scan,0.01,2,calibrated surrogate waveform_embedding + time_delay + sky_localization,100,2975,57,4423768.0,1.2884777313749978e-05,39,61,0.6842105263157895,0.39,30268.276315789477,350000,gpd,1.5220657477711133,0.05
rarity_fixed_budget_scan,0.01,2,calibrated surrogate waveform_embedding + time_delay + sky_localization,200,2975,57,4423768.0,1.2884777313749978e-05,45,155,0.7894736842105263,0.225,17462.46710526316,350000,gpd,1.5220657477711133,0.05
rarity_fixed_budget_scan,0.001,0,time_delay + sky_localization,50,28834,52,415685309.0,1.250946145298583e-07,0,50,0.0,0.0,0.0,350000,gpd,1.81356742134081,0.05
rarity_fixed_budget_scan,0.001,0,time_delay + sky_localization,100,28834,52,415685309.0,1.250946145298583e-07,0,100,0.0,0.0,0.0,350000,gpd,1.81356742134081,0.05
rarity_fixed_budget_scan,0.001,0,time_delay + sky_localization,200,28834,52,415685309.0,1.250946145298583e-07,0,200,0.0,0.0,0.0,350000,gpd,1.81356742134081,0.05
rarity_fixed_budget_scan,0.001,0,calibrated surrogate waveform_embedding only,50,28834,52,415685309.0,1.250946145298583e-07,13,37,0.25,0.26,2078426.8050000002,350000,gpd,1.540036445856094,0.05
rarity_fixed_budget_scan,0.001,0,calibrated surrogate waveform_embedding only,100,28834,52,415685309.0,1.250946145298583e-07,13,87,0.25,0.13,1039213.4025000001,350000,gpd,1.540036445856094,0.05
rarity_fixed_budget_scan,0.001,0,calibrated surrogate waveform_embedding only,200,28834,52,415685309.0,1.250946145298583e-07,13,187,0.25,0.065,519606.70125000004,350000,gpd,1.540036445856094,0.05
rarity_fixed_budget_scan,0.001,0,calibrated surrogate waveform_embedding + time_delay + sky_localization,50,28834,52,415685309.0,1.250946145298583e-07,25,25,0.4807692307692308,0.5,3996974.6250000005,350000,gpd,1.5372860297483195,0.05
rarity_fixed_budget_scan,0.001,0,calibrated surrogate waveform_embedding + time_delay + sky_localization,100,28834,52,415685309.0,1.250946145298583e-07,28,72,0.5384615384615384,0.28,2238305.7900000005,350000,gpd,1.5372860297483195,0.05
rarity_fixed_budget_scan,0.001,0,calibrated surrogate waveform_embedding + time_delay + sky_localization,200,28834,52,415685309.0,1.250946145298583e-07,28,172,0.5384615384615384,0.14,1119152.8950000003,350000,gpd,1.5372860297483195,0.05
rarity_fixed_budget_scan,0.001,1,time_delay + sky_localization,50,28872,52,416781704.0,1.247655379617912e-07,0,50,0.0,0.0,0.0,350000,gpd,1.7520139453225905,0.05
