R10_mean,R10_std,R1_mean,R1_std,R50_mean,R50_std,background_density_events_per_yr,base_positive_rate_mean,budget,enrichment_mean,enrichment_std,experiment,false_candidates_mean,false_candidates_std,lens_fraction,median_rank_mean,median_rank_std,method,n_events_mean,n_seeds,n_true_pairs_mean,precision_mean,precision_std,recall_mean,recall_std,true_recovered_mean,true_recovered_std
1.0,0.0,0.9290935672514621,0.02049462082098776,1.0,0.0,100.0,,,,,density_scan,,,,1.0,0.0,calibrated surrogate waveform_embedding + time_delay + sky_localization,589.6666666666666,3,53.666666666666664,,,,,,
1.0,0.0,0.9906657669815564,0.009627707928845888,1.0,0.0,100.0,,,,,density_scan,,,,1.0,0.0,calibrated surrogate waveform_embedding only,589.6666666666666,3,53.666666666666664,,,,,,
1.0,0.0,0.7239091318038686,0.09707755486120717,1.0,0.0,100.0,,,,,density_scan,,,,1.0,0.0,time_delay + sky_localization,589.6666666666666,3,53.666666666666664,,,,,,
0.9883040935672515,0.02025790418209213,0.6384952766531714,0.051793618684554885,1.0,0.0,1000.0,,,,,density_scan,,,,1.0,0.0,calibrated surrogate waveform_embedding + time_delay + sky_localization,4998.0,3,53.666666666666664,,,,,,
1.0,0.0,0.9090193432298695,0.027359849854894577,1.0,0.0,1000.0,,,,,density_scan,,,,1.0,0.0,calibrated surrogate waveform_embedding only,4998.0,3,53.666666666666664,,,,,,
0.8595928924876293,0.06982752967963927,0.4385964912280702,0.10807865262724407,0.9941520467836257,0.01012895209104605,1000.0,,,,,density_scan,,,,2.0,1.0,time_delay + sky_localization,4998.0,3,53.666666666666664,,,,,,
0.7192982456140351,0.07168810012598135,0.487910481331534,0.09885151011013031,0.9760458839406209,0.02663180954367865,10000.0,,,,,density_scan,,,,2.6666666666666665,2.8867513459481287,calibrated surrogate waveform_embedding + time_delay + sky_localization,49080.0,3,53.666666666666664,,,,,,
0.9655870445344129,0.007012351447647262,0.5954228520017995,0.04117038684264414,1.0,0.0,10000.0,,,,,density_scan,,,,1.0,0.0,calibrated surrogate waveform_embedding only,49080.0,3,53.666666666666664,,,,,,
0.45377867746288797,0.09718883278547377,0.33856275303643724,0.0882237583811023,0.7318376068376068,0.05825344393254524,10000.0,,,,,density_scan,,,,18.666666666666668,18.58314648635514,time_delay + sky_localization,49080.0,3,53.666666666666664,,,,,,
0.47537112010796223,0.09311924248620142,0.46952316689158796,0.10319935060326964,0.5859761583445794,0.06099393229237752,100000.0,,,,,density_scan,,,,16.166666666666668,26.26943724812797,calibrated surrogate waveform_embedding + time_delay + sky_localization,489473.6666666667,3,53.666666666666664,,,,,,
0.6628430049482681,0.06220679697429102,0.33934997750787216,0.1032912704123346,0.9343792172739542,0.012233293359862254,100000.0,,,,,density_scan,,,,4.0,2.6457513110645907,calibrated surrogate waveform_embedding only,489473.6666666667,3,53.666666666666664,,,,,,
0.39833558254610885,0.10989207141585645,0.2315564552406657,0.048599491282999896,0.4418016194331984,0.10923556912710969,100000.0,,,,,density_scan,,,,163.66666666666666,173.25583203267166,time_delay + sky_localization,489473.6666666667,3,53.666666666666664,,,,,,
,,,,,,,1.3043522117289777e-09,50.0,0.0,0.0,rarity_fixed_budget_scan,50.0,0.0,0.0001,,,calibrated surrogate waveform_embedding + time_delay + sky_localization,286857.0,3,53.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,1.3043522117289777e-09,50.0,112373727.98742692,47636194.07693051,rarity_fixed_budget_scan,42.666666666666664,3.055050463303893,0.0001,,,calibrated surrogate waveform_embedding only,286857.0,3,53.666666666666664,0.14666666666666667,0.06110100926607787,0.13652721547458388,0.05778726207882205,7.333333333333333,3.0550504633038935
,,,,,,,1.3043522117289777e-09,50.0,0.0,0.0,rarity_fixed_budget_scan,50.0,0.0,0.0001,,,time_delay + sky_localization,286857.0,3,53.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,1.3043522117289777e-09,100.0,0.0,0.0,rarity_fixed_budget_scan,100.0,0.0,0.0001,,,calibrated surrogate waveform_embedding + time_delay + sky_localization,286857.0,3,53.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,1.3043522117289777e-09,100.0,56186863.99371346,23818097.038465254,rarity_fixed_budget_scan,92.66666666666667,3.0550504633038935,0.0001,,,calibrated surrogate waveform_embedding only,286857.0,3,53.666666666666664,0.07333333333333333,0.030550504633038936,0.13652721547458388,0.05778726207882205,7.333333333333333,3.0550504633038935
,,,,,,,1.3043522117289777e-09,100.0,0.0,0.0,rarity_fixed_budget_scan,100.0,0.0,0.0001,,,time_delay + sky_localization,286857.0,3,53.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,1.3043522117289777e-09,200.0,0.0,0.0,rarity_fixed_budget_scan,200.0,0.0,0.0001,,,calibrated surrogate waveform_embedding + time_delay + sky_localization,286857.0,3,53.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,1.3043522117289777e-09,200.0,28093431.996856723,11909048.519232627,rarity_fixed_budget_scan,192.66666666666666,3.0550504633038926,0.0001,,,calibrated surrogate waveform_embedding only,286857.0,3,53.666666666666664,0.03666666666666667,0.015275252316519468,0.13652721547458388,0.05778726207882205,7.333333333333333,3.0550504633038935
,,,,,,,1.3043522117289777e-09,200.0,0.0,0.0,rarity_fixed_budget_scan,200.0,0.0,0.0001,,,time_delay + sky_localization,286857.0,3,53.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0
