detector,data_mode,stage,variant,subset,catalog,candidate_kind,query_total,catalog_total,sis_lensed_images,sis_unlensed,pm_lensed_images,pm_unlensed,total_lensed_images,total_unlensed,epochs,backbone,preprocess,liao_label,liao_delay_count,observed_sky_label,a90_ref_deg2,test_a90_median_deg2,test_a90_p90_deg2,weight_grid,component_keys,val_selected_r@1,val_selected_r@5,val_selected_r@10,lambda_waveform,valid,r@1,r@5,r@10,r@50,r@100,r@500,median_true_rank,top_1pct_k,top_1pct,top_5pct_k,top_5pct,top_10pct_k,top_10pct,lambda_raw_time,lambda_liao_time_lr,lambda_observed_sky_step,lambda_observed_sky_log_overlap
ET3,noisy,stage7_modality_combinations,liao_time_lr_only,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,ET three-arm network-SNR A90 approximation,100.0,20.0,27.413530636754054,"[0.25, 0.5, 1.0, 2.0, 4.0]",liao_time_lr,0.1405,0.4086666666666667,0.5306666666666666,,3000,0.24733333333333332,0.751,0.9506666666666667,1.0,1.0,1.0,3.0,90,1.0,450,1.0,900,1.0,,1.0,,
ET3,noisy,stage7_modality_combinations,liao_time_lr_only,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,ET three-arm network-SNR A90 approximation,100.0,20.0,27.413530636754054,"[0.25, 0.5, 1.0, 2.0, 4.0]",liao_time_lr,0.1405,0.4086666666666667,0.5306666666666666,,6000,0.12966666666666665,0.404,0.5308333333333334,0.6373333333333333,0.6966666666666667,0.855,87.5,90,0.683,450,0.845,900,0.9161666666666667,,1.0,,
ET3,noisy,stage7_modality_combinations,observed_sky_step_only,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,ET three-arm network-SNR A90 approximation,100.0,20.0,27.413530636754054,"[0.25, 0.5, 1.0, 2.0, 4.0]",observed_sky_step,0.5145,0.8078333333333333,0.9301666666666667,,6000,0.5421666666666667,0.8278333333333333,0.945,0.9996666666666667,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,,,1.0,
ET3,noisy,stage7_modality_combinations,observed_sky_step_only,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,ET three-arm network-SNR A90 approximation,100.0,20.0,27.413530636754054,"[0.25, 0.5, 1.0, 2.0, 4.0]",observed_sky_step,0.5145,0.8078333333333333,0.9301666666666667,,3000,0.5386666666666666,0.8376666666666667,0.947,1.0,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,,,1.0,
ET3,noisy,stage7_modality_combinations,observed_sky_step_only,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,ET three-arm network-SNR A90 approximation,100.0,20.0,27.413530636754054,"[0.25, 0.5, 1.0, 2.0, 4.0]",observed_sky_step,0.5145,0.8078333333333333,0.9301666666666667,,3000,0.5456666666666666,0.818,0.943,0.9993333333333333,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,,,1.0,
ET3,noisy,stage7_modality_combinations,observed_sky_step_only,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,ET three-arm network-SNR A90 approximation,100.0,20.0,27.413530636754054,"[0.25, 0.5, 1.0, 2.0, 4.0]",observed_sky_step,0.5145,0.8078333333333333,0.9301666666666667,,6000,0.5421666666666667,0.8278333333333333,0.945,0.9996666666666667,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,,,1.0,
ET3,noisy,stage7_modality_combinations,observed_sky_log_overlap_only,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,ET three-arm network-SNR A90 approximation,100.0,20.0,27.413530636754054,"[0.25, 0.5, 1.0, 2.0, 4.0]",observed_sky_log_overlap,0.22883333333333333,0.6728333333333333,0.8728333333333333,,6000,0.24166666666666667,0.6933333333333334,0.8883333333333333,0.9988333333333334,1.0,1.0,3.0,90,0.9998333333333334,450,1.0,900,1.0,,,,1.0
ET3,noisy,stage7_modality_combinations,observed_sky_log_overlap_only,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,ET three-arm network-SNR A90 approximation,100.0,20.0,27.413530636754054,"[0.25, 0.5, 1.0, 2.0, 4.0]",observed_sky_log_overlap,0.22883333333333333,0.6728333333333333,0.8728333333333333,,3000,0.239,0.6953333333333334,0.8926666666666667,0.999,1.0,1.0,3.0,90,0.9996666666666667,450,1.0,900,1.0,,,,1.0
ET3,noisy,stage7_modality_combinations,observed_sky_log_overlap_only,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,ET three-arm network-SNR A90 approximation,100.0,20.0,27.413530636754054,"[0.25, 0.5, 1.0, 2.0, 4.0]",observed_sky_log_overlap,0.22883333333333333,0.6728333333333333,0.8728333333333333,,3000,0.24433333333333335,0.6913333333333334,0.884,0.9986666666666667,1.0,1.0,3.0,90,1.0,450,1.0,900,1.0,,,,1.0
ET3,noisy,stage7_modality_combinations,observed_sky_log_overlap_only,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC ET BBH Any_Detected_SNR8,4388,ET three-arm network-SNR A90 approximation,100.0,20.0,27.413530636754054,"[0.25, 0.5, 1.0, 2.0, 4.0]",observed_sky_log_overlap,0.22883333333333333,0.6728333333333333,0.8728333333333333,,6000,0.24166666666666667,0.6933333333333334,0.8883333333333334,0.9988333333333334,1.0,1.0,3.0,90,0.9998333333333334,450,1.0,900,1.0,,,,1.0
