detector,data_mode,catalog,candidate_kind,subset,variant,stage,query_total,catalog_total,sis_lensed_images,sis_unlensed,pm_lensed_images,pm_unlensed,total_lensed_images,total_unlensed,epochs,backbone,preprocess,train_s,mean_epoch_s,sky_sigma_rad,sky_val_mean_angular_error_rad,sky_val_median_angular_error_rad,val_hard_candidate_kind,val_hard_n_queries,val_hard_target_negatives_per_query,val_hard_shortage_queries,val_hard_mean_used_eps,val_hard_p_dt_pos_lt_dt_neg,valid,r@1,r@5,r@10,r@50,r@100,r@500,median_true_rank,top_1pct_k,top_1pct,top_5pct_k,top_5pct,top_10pct_k,top_10pct,val_auc_hard_sampled,train_examples,train_positive
ET3,pure,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,PM,true_sky_overlap_only,direct_full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,1312.4808147922158,26.249415654316543,1.5665719509124756,1.578660488128662,1.5665719509124756,hard,6000,200,3535,0.7714583333333334,0.829945,3000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,,,
ET3,pure,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,macro,true_sky_overlap_only,direct_full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,1312.4808147922158,26.249415654316543,1.5665719509124756,1.578660488128662,1.5665719509124756,hard,6000,200,3535,0.7714583333333334,0.829945,6000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,,,
ET3,pure,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,overall,predicted_sky_overlap_only,direct_full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,1312.4808147922158,26.249415654316543,1.5665719509124756,1.578660488128662,1.5665719509124756,hard,6000,200,3535,0.7714583333333334,0.829945,6000,0.058666666666666666,0.19216666666666668,0.2823333333333333,0.5735,0.7015,0.9,34.0,90,0.6828333333333333,450,0.8916666666666667,900,0.941,,,
ET3,pure,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,SIS,predicted_sky_overlap_only,direct_full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,1312.4808147922158,26.249415654316543,1.5665719509124756,1.578660488128662,1.5665719509124756,hard,6000,200,3535,0.7714583333333334,0.829945,3000,0.057666666666666665,0.18666666666666668,0.2813333333333333,0.5723333333333334,0.705,0.8993333333333333,33.0,90,0.682,450,0.892,900,0.942,,,
ET3,pure,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,PM,predicted_sky_overlap_only,direct_full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,1312.4808147922158,26.249415654316543,1.5665719509124756,1.578660488128662,1.5665719509124756,hard,6000,200,3535,0.7714583333333334,0.829945,3000,0.059666666666666666,0.19766666666666666,0.2833333333333333,0.5746666666666667,0.698,0.9006666666666666,35.5,90,0.6836666666666666,450,0.8913333333333333,900,0.94,,,
ET3,pure,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,macro,predicted_sky_overlap_only,direct_full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,1312.4808147922158,26.249415654316543,1.5665719509124756,1.578660488128662,1.5665719509124756,hard,6000,200,3535,0.7714583333333334,0.829945,6000,0.058666666666666666,0.19216666666666665,0.2823333333333333,0.5735,0.7015,0.8999999999999999,34.25,90,0.6828333333333334,450,0.8916666666666666,900,0.941,,,
ET3,pure,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,overall,waveform_plus_time,hard_trained_full_catalog_rerank,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,1312.4808147922158,26.249415654316543,1.5665719509124756,1.578660488128662,1.5665719509124756,hard,6000,200,3535,0.7714583333333334,0.829945,6000,0.9276666666666666,0.9755,0.9946666666666667,0.999,0.9995,1.0,1.0,90,0.9995,450,1.0,900,1.0,0.9999306313888888,1206000.0,6000.0
ET3,pure,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,SIS,waveform_plus_time,hard_trained_full_catalog_rerank,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,1312.4808147922158,26.249415654316543,1.5665719509124756,1.578660488128662,1.5665719509124756,hard,6000,200,3535,0.7714583333333334,0.829945,3000,0.8753333333333333,0.9583333333333334,0.9903333333333333,0.998,0.999,1.0,1.0,90,0.999,450,1.0,900,1.0,0.9999306313888888,1206000.0,6000.0
ET3,pure,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,PM,waveform_plus_time,hard_trained_full_catalog_rerank,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,1312.4808147922158,26.249415654316543,1.5665719509124756,1.578660488128662,1.5665719509124756,hard,6000,200,3535,0.7714583333333334,0.829945,3000,0.98,0.9926666666666667,0.999,1.0,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,0.9999306313888888,1206000.0,6000.0
ET3,pure,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,macro,waveform_plus_time,hard_trained_full_catalog_rerank,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,1312.4808147922158,26.249415654316543,1.5665719509124756,1.578660488128662,1.5665719509124756,hard,6000,200,3535,0.7714583333333334,0.829945,6000,0.9276666666666666,0.9755,0.9946666666666666,0.999,0.9995,1.0,1.0,90,0.9995,450,1.0,900,1.0,0.9999306313888888,1206000.0,6000.0
