idx,event_name,sky_map_path,source_format,source_group,source_nside,source_ordering,common_nside,map_ra,map_dec,map_max_prob,map_area90_deg2
39,GW230920_071124,data/gwtc4p1/pe_hdf5/GW230920_071124/IGWN-GWTC4p1-18965dda8_5-GW230920_071124-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,256,RING,512,5.881282340753548,0.4427051766719792,1.931063525466731e-05,2189.704006392728
40,GW230922_020344,data/gwtc4p1/pe_hdf5/GW230922_020344/IGWN-GWTC4p1-18965dda8_5-GW230922_020344-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,512,RING,512,5.38165823246267,-1.158029307075235,9.0647059566212e-05,341.566285674532
41,GW230922_040658,data/gwtc4p1/pe_hdf5/GW230922_040658/IGWN-GWTC4p1-18965dda8_5-GW230922_040658-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,256,RING,512,0.6596117387908256,-0.6405746287208975,1.4691133399136393e-05,5063.196282294841
42,GW230924_124453,data/gwtc4p1/pe_hdf5/GW230924_124453/IGWN-GWTC4p1-18965dda8_5-GW230924_124453-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,512,RING,512,0.9776053088702416,1.1905612714825724,3.369031037525234e-05,1296.6431120352206
43,GW230927_043729,data/gwtc4p1/pe_hdf5/GW230927_043729/IGWN-GWTC4p1-18965dda8_5-GW230927_043729-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,512,RING,512,2.5218644152839937,-0.643826669378504,3.194945748689382e-05,1384.519779481471
44,GW230927_153832,data/gwtc4p1/pe_hdf5/GW230927_153832/IGWN-GWTC4p1-18965dda8_5-GW230927_153832-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXO4a,512,RING,512,0.014818833271649968,-1.4862509950476013,8.910963517529255e-05,355.8342776431219
45,GW230928_215827,data/gwtc4p1/pe_hdf5/GW230928_215827/IGWN-GWTC4p1-18965dda8_5-GW230928_215827-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,256,RING,512,3.721437391410565,0.5739683515524875,1.1718837415563537e-05,3802.2231501810948
46,GW230930_110730,data/gwtc4p1/pe_hdf5/GW230930_110730/IGWN-GWTC4p1-18965dda8_5-GW230930_110730-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,256,RING,512,5.110567584153629,1.2262295323165175,1.2591996892479151e-05,3373.0293623612342
47,GW231001_140220,data/gwtc4p1/pe_hdf5/GW231001_140220/IGWN-GWTC4p1-18965dda8_5-GW231001_140220-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXO4a,256,RING,512,4.826695755339247,-1.229466444033834,1.2172771676541238e-05,4398.134752244229
48,GW231004_232346,data/gwtc4p1/pe_hdf5/GW231004_232346/IGWN-GWTC4p1-18965dda8_5-GW231004_232346-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXO4a,256,RING,512,1.8683885996447107,-0.2513357022417064,1.1549475860305283e-05,3703.5930329055764
49,GW231005_021030,data/gwtc4p1/pe_hdf5/GW231005_021030/IGWN-GWTC4p1-18965dda8_5-GW231005_021030-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXO4a,128,RING,512,2.41755372170777,-0.6373304526287704,6.3412030623772785e-06,5847.68667526636
50,GW231005_091549,data/gwtc4p1/pe_hdf5/GW231005_091549/IGWN-GWTC4p1-18965dda8_5-GW231005_091549-combined_PEDataRelease.hdf5,pe_hdf5_skymap,C00:IMRPhenomXPHM-SpinTaylor,256,RING,512,2.6879154536148695,-0.780110114089037,1.7360036512041406e-05,2671.353647038286
